# GoalTracker 财务数据
公司,福斯达
股票代码,603173.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,,,2.989915,,0.5381,0.240592,,,-0.075,0.1532,,17.99621,8.046776,,,,,,
2022Q2,23.3127,5.3651,7.865914,10.419665,1.3056,0.557853,0.5059,-37.283326,-0.1897,0.252,10.77,16.598214,7.092029,76.986546,3.6739,5.1597,6.6971,2.6916,2.559011
2022Q3,27.885,5.9298,12.715412,42.327913,2.5444,1.119482,1.0529,76.282106,0.654,0.4224,20.87,20.010654,8.804138,78.734904,3.7354,5.2602,8.9974,4.1398,4.647909
2022Q4,29.0828,6.2303,18.860061,30.367417,3.7825,1.419385,1.3211,1.781638,0.2098,0.5645,25.52,20.055734,7.525879,78.577348,4.2363,5.4446,7.4824,3.919,5.750086
2023Q1,35.7346,13.1774,3.395428,13.562688,0.7278,0.352472,0.3406,,-1.6569,0.1403,3.26,21.434483,10.380785,63.12433,5.6517,5.972,9.3263,8.0554,1.087586
2023Q2,36.2935,13.5592,9.478687,20.503316,2.1769,0.950705,0.9043,78.744399,0.8578,0.2025,7.81,22.966526,10.029927,62.640081,3.5222,5.8332,8.8636,9.9841,2.908409
2023Q3,40.9689,14.0498,15.015995,18.092864,3.402,1.433102,1.3264,25.979853,1.4953,0.6526,11.27,22.655795,9.543835,65.706238,3.2761,6.7769,11.2384,11.4099,4.091556
2023Q4,43.9716,14.5355,21.557889,14.304445,4.7197,1.911468,1.7178,30.033229,5.1407,1.1085,14.58,21.892955,8.866676,66.943341,4.9464,6.4544,13.9715,13.6659,5.233
2024Q1,43.6749,15.1945,3.515165,3.526423,0.8629,0.656753,0.533,56.470291,-1.7829,0.3514,4.42,24.547865,18.683418,65.209982,4.1161,7.64,14.2619,11.5161,1.498641
2024Q2,46.9494,14.9884,9.100918,-3.985458,1.9972,1.04475,0.874,-3.354767,-0.8412,0.7628,6.98,21.945482,11.47961,68.075473,5.6163,9.5281,16.4594,10.3544,2.298149
2024Q3,49.7406,16.0209,16.542493,10.165814,4.0243,2.075845,1.8621,40.385243,1.0147,0.9677,13.56,24.32733,12.548561,67.791105,5.0349,10.7778,16.4651,11.2149,4.430255
2024Q4,52.9882,16.2671,24.188751,12.203709,5.6526,2.61163,2.3385,36.132935,4.0122,1.1015,16.9,23.368616,10.796877,69.300512,7.2271,10.2639,19.7545,15.2056,5.387037
2025Q1,52.632,17.4263,5.94188,69.035573,1.7094,1.15758,1.1478,115.353487,0.6867,0.4188,6.87,28.769433,19.481722,66.890266,5.5067,12.2971,19.3724,14.6931,2.191968
2025Q2,57.1764,17.9952,14.756531,62.14332,4.0179,2.512063,2.4737,183.045723,6.3545,0.5155,14.44,27.227619,17.0234,68.526808,7.1463,11.856,20.9537,16.4856,4.560565
2025Q3,58.0348,18.9366,21.414569,29.451885,5.8551,3.448173,3.3998,82.574037,9.0552,0.8818,19.54,27.341777,16.101998,67.370185,5.349,12.7283,22.6987,16.2303,6.211642
2025Q4,55.8207,19.7609,30.029022,24.144577,7.9,4.213488,4.102,75.410691,9.1206,1.133,23.48,26.30772,14.031387,64.59936,6.0949,12.0574,19.8154,16.23,7.744754
2026Q1,60.6452,20.9221,6.091906,2.524901,1.6609,0.924685,0.894,-22.113942,2.3943,0.3437,4.54,27.263503,15.174347,65.500794,5.4546,10.9491,25.1332,18.8421,1.587429
2026Q2,59.6526,20.1301,11.729027,-20.516366,3.2646,1.511856,1.4312,-42.144237,1.0058,0.6512,7.45,27.833718,12.884986,66.254379,5.1255,11.1855,25.2513,14.0884,2.617548
