# GoalTracker 财务数据
公司,药明康德
股票代码,603259.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,575.8293,406.4778,84.744193,71.183803,30.3309,16.429473,17.1414,106.521377,4.9747,22.0763,4.16,35.791163,19.540578,29.410024,63.8968,64.1477,32.9597,70.269,2.938419
2022Q2,619.1347,423.9334,177.56258,68.52048,64.3695,46.357493,38.4997,80.995695,39.9575,44.1867,11.38,36.25172,26.332455,31.528072,63.7131,72.8243,32.3109,70.9459,7.989789
2022Q3,657.4922,451.3709,283.945618,71.865668,105.4081,73.779139,62.3217,100.636383,77.0965,67.4641,17.72,37.122622,26.225506,31.34962,60.7119,65.8131,39.5905,92.1426,12.321024
2022Q4,646.9033,469.2667,393.547778,71.837027,146.7756,88.13713,83.4474,102.606663,106.1603,99.6569,20.62,37.2955,22.621422,27.459521,59.7278,56.6859,24.9664,79.8574,14.860258
2023Q1,681.8809,498.31,89.637416,5.77411,35.7586,21.681284,18.6882,9.023272,30.2733,12.6971,4.53,39.892494,24.384958,26.92125,66.252,58.4313,35.8686,98.6909,3.289932
2023Q2,693.1913,501.9878,188.712855,6.279631,76.4581,53.131197,48.1485,25.061972,55.9818,24.1498,10.78,40.515564,28.386494,27.58308,78.0464,57.155,31.8841,95.8668,7.994803
2023Q3,717.5928,519.884,295.413261,4.038676,122.0002,80.764072,77.0941,23.703442,103.1679,36.4971,16.19,41.298143,27.583891,27.551668,76.0563,52.9344,22.9718,94.4856,11.943819
2023Q4,736.6935,555.1745,403.408069,2.505488,166.1201,96.067491,97.4759,16.81111,133.8691,55.1656,18.99,41.179165,24.045776,24.639696,79.0138,47.3623,19.5536,137.6406,14.021802
2024Q1,749.3985,560.483,79.819342,-10.953098,30.4355,19.422107,20.3438,8.859393,22.5712,8.1077,3.51,38.130504,24.541084,25.208953,69.6883,50.4797,21.6251,157.2557,2.636248
2024Q2,743.9733,550.9476,172.409183,-8.639407,67.8698,42.39822,44.1393,-8.326716,49.6629,15.1051,7.62,39.365545,24.829569,25.945243,76.1377,52.3193,25.2271,146.7209,5.782322
2024Q3,742.3824,555.8324,277.020023,-6.226274,112.6175,65.329347,66.8173,-13.330198,83.7909,24.9165,11.73,40.653185,23.83081,25.128556,80.1454,53.4779,24.7139,140.5154,8.92667
2024Q4,803.2582,590.8561,392.414314,-2.725219,162.7692,94.503084,99.881,2.467431,124.0651,40.0349,16.78,41.478905,24.381729,26.442568,79.517,53.9975,22.5103,183.2203,12.426025
2025Q1,845.1209,627.7876,96.545953,20.955586,40.8007,36.71961,23.2927,14.495005,31.9543,7.3453,6.08,42.260354,38.483942,25.716234,73.1769,64.9176,23.4978,248.5114,4.508027
2025Q2,838.2378,604.0908,207.992819,20.639061,92.4516,85.608826,55.8213,26.466215,74.3098,21.0176,13.93,44.449408,41.637727,27.933241,70.3234,71.5121,22.2708,214.852,10.551775
2025Q3,946.0614,714.725,328.567165,18.607732,153.1862,120.75513,95.2241,42.514138,114.1283,35.6632,19.26,46.622485,37.149766,24.452577,84.4009,78.4374,25.6567,294.3876,13.955361
2025Q4,1031.2097,802.4771,454.561658,15.837176,216.5473,191.505824,132.4056,32.563283,172.0316,55.3815,28.56,47.63871,42.531229,22.180993,72.6265,89.9324,27.0916,351.3131,21.077573
2026Q1,1074.1448,847.7163,124.357766,28.806814,62.6795,46.51518,42.7562,83.560971,35.9581,11.948,5.68,50.402593,37.557075,21.079888,77.0094,99.6588,27.6425,359.0524,4.436796
2026Q2,1162.6255,838.84,288.974787,38.934983,155.7848,110.801737,105.7218,89.393363,96.9914,29.6158,13.19,53.909475,38.502784,27.849515,104.7172,111.2655,37.5442,357.2584,10.143272
