# GoalTracker 财务数据
公司,吉比特
股票代码,603444.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,74.6972,55.2141,12.292316,9.976401,11.1405,3.496528,3.3311,-6.139582,3.2791,0.0208,7.35,90.629998,36.877646,26.082766,6.221255
2022Q2,66.9186,46.5299,25.10554,5.165007,22.5785,6.883292,6.6768,-5.314052,7.4991,0.4156,15.09,89.934319,35.611988,30.46793,12.961935
2022Q3,72.4186,50.5821,38.300374,9.892569,33.7689,10.117277,10.0239,-0.00379,12.9253,0.422,22.56,88.168502,34.362613,30.15321,18.349089
2022Q4,64.9042,47.095,51.676155,11.876249,45.8548,14.608745,14.6832,19.787247,17.5239,0.436,32.49,88.734855,37.918798,27.439198,28.829506
2023Q1,67.9991,50.9142,11.4437,-6.903627,10.1023,3.065528,2.8062,-15.758939,2.4559,0.0319,7.42,88.278393,33.286772,25.125185,5.732346
2023Q2,68.6463,52.8191,23.489247,-6.437993,20.7927,6.75971,6.457,-3.292631,6.0165,0.4105,15.82,88.520143,38.04903,23.056181,13.384341
2023Q3,64.8367,49.2071,33.067721,-13.662145,29.1765,8.593092,8.2381,-17.815118,8.2456,0.5301,19.83,88.232618,33.980507,24.10612,17.321567
2023Q4,66.3677,52.4761,41.848514,-19.017748,37.0495,11.251192,11.1896,-23.792876,11.855,0.5567,26.04,88.532317,34.913843,20.931304,22.260549
2024Q1,70.0874,55.3578,9.27265,-18.971576,8.2753,2.53363,1.9797,-29.450299,2.3057,0.0764,5.53,89.244095,32.237907,21.01609,4.38138
2024Q2,69.4168,55.4556,19.596491,-16.5725,17.2871,5.178276,4.626,-28.356731,5.9428,0.1482,11,88.215375,31.87693,20.11219,9.20099
2024Q3,67.1337,53.9217,28.182817,-14.772425,24.9319,6.575012,6.1341,-25.540521,8.2702,0.1888,13.91,88.464867,29.059884,19.680034,12.269377
2024Q4,69.2355,56.3347,36.956826,-11.689036,32.472,9.449198,8.7717,-21.608397,12.4864,0.235,19.79,87.86478,31.900125,18.633167,17.387899
2025Q1,71.7871,60.1019,11.356637,22.474556,10.3219,2.833088,2.7461,38.711218,2.1274,0.0019,5.62,90.888884,33.386309,16.27756,5.377243
2025Q2,77.8993,61.9919,25.179018,28.487377,23.244,6.446811,6.4774,40.021984,10.767,0.0108,12.54,92.314859,32.558316,20.420475,11.143343
2025Q3,82.0564,64.0376,44.857788,59.167156,41.8586,12.141358,12.1134,97.476772,18.5902,0.0288,22.86,93.314018,33.613422,21.959007,19.932646
2025Q4,86.2214,65.3917,62.046595,67.889404,58.2626,17.936661,17.3148,97.393382,27.9583,0.031,33.27,93.901389,34.584657,24.158355,27.607138
2026Q1,90.2697,70.7688,18.473522,62.66719,17.322,5.175445,5.2558,91.390672,5.798,0.0106,8.98,93.766584,33.372661,21.602913,6.986308
2026Q2,92.3319,71.4553,37.268423,48.013808,34.9234,10.915365,10.8671,67.769477,12.7287,0.0458,18.57,93.707794,34.22356,22.610471,14.286575
