# GoalTracker 财务数据
公司,利通电子
股票代码,603629.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,29.3227,15.9386,3.839624,-1.520149,0.5722,0.168847,0.0488,14.960925,-0.4552,0.3248,1.07,14.902437,4.397476,45.644138,0.556426
2022Q2,28.6169,15.9232,8.554965,5.73828,1.3177,0.316119,0.16,-8.818055,0.0975,1.2083,1.98,15.40333,3.678811,44.35724,1.049353
2022Q3,28.2622,16.1713,12.776252,-0.067533,2.2014,0.533329,0.2493,31.817729,0.3801,1.2885,3.32,17.230142,4.152922,42.781105,1.779625
2022Q4,28.7725,16.3524,20.254252,12.243286,3.3073,0.659165,0.351,7.348295,1.5494,1.328,4.11,16.329038,3.230159,43.166741,2.175757
2023Q1,27.5854,16.4917,4.295976,11.885328,0.5968,0.145716,0.0539,10.521882,0.4546,0.3061,0.89,13.891919,3.370504,40.215946,0.513844
2023Q2,31.3752,16.4834,9.727404,13.704774,1.4477,0.271905,0.1621,1.345399,2.6557,0.854,1.65,14.883043,2.778721,47.463751,0.898778
2023Q3,32.991,16.7633,14.423331,12.891718,2.0684,0.306277,0.1768,-29.094019,3.8337,3.1935,1.87,14.340735,2.105837,49.188189,0.983531
2023Q4,36.3383,16.756,18.931195,-6.532246,3,0.402023,0.2038,-41.936907,7.3241,7.851,2.47,15.846921,2.061136,53.888973,1.198564
2024Q1,47.2176,16.8428,4.278503,-0.406732,1.0782,0.330953,0.2954,447.753016,5.1713,0.0488,1.99,25.200299,8.06464,64.329425,0.825904
2024Q2,58.0851,16.561,8.884248,-8.667842,1.9417,0.419451,0.3646,124.917219,-5.2369,0.1387,2.5,21.856037,4.95241,71.4884,0.931939
2024Q3,60.4981,16.6023,14.908457,3.363484,3.0638,0.527005,0.4733,167.765987,-6.6167,0.175,3.13,20.550921,3.690849,72.557325,1.13645
2024Q4,59.3248,16.6218,22.475598,18.722555,4.1262,0.246164,0.0589,-71.100766,0.7484,4.4913,1.5,18.35849,1.184828,71.981793,0.556739
2025Q1,59.922,16.9811,7.04342,64.623491,1.3366,0.294515,0.2898,-1.899496,1.9242,0.043,1.76,18.976141,4.217127,71.661365,0.498177
2025Q2,58.1539,17.2767,15.162533,70.667605,3.2208,0.510792,0.5171,41.826073,3.0882,0.7217,3.03,21.241767,3.40537,70.291326,0.879037
2025Q3,62.2647,18.7629,24.62599,65.181343,5.605,2.159476,1.4391,204.048626,7.8663,3.9402,12.2,22.760328,8.79656,69.865845,3.563202
2025Q4,62.9976,19.5131,33.073998,47.155141,8.2011,2.925891,2.3594,3906.407741,9.3761,4.5991,16.18,24.796316,8.89051,69.025591,4.8077
2026Q1,90.3814,22.5092,9.974383,41.612779,4.6111,2.71273,2.7823,860.23691,6.0697,0.0452,12.93,46.229789,27.375962,75.095296,3.56057
2026Q2,83.2145,26.425,21.011503,38.57515,9.7915,7.024139,6.148,1088.949802,25.7322,0.8315,29.83,46.600658,33.562017,68.244682,9.646101
