# GoalTracker 财务数据
公司,嘉友国际
股票代码,603871.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,46.4296,30.3258,6.502798,8.430834,1.4979,1.081123,1.0538,26.712709,-0.8802,1.4713,3.72,23.034413,16.598128,34.684196,2.1603,1.6689,2.8595,5.9954,2.346626
2022Q2,49.9322,31.4714,17.947841,20.131485,3.8259,2.930372,2.8285,90.205228,0.0344,2.9336,9.68,21.316908,16.295177,36.971692,3.1921,2.1979,3.8625,7.8256,6.125289
2022Q3,55.0707,40.2448,38.079186,49.633934,6.3632,4.670048,4.5528,91.334863,4.8284,3.3871,14.37,16.710368,12.260947,26.921641,5.8272,1.4107,3.8711,11.2364,9.279076
2022Q4,53.5632,42.2646,48.29454,24.213616,9.3158,6.807429,6.7246,103.620761,5.0778,4.8005,19.58,19.289495,14.069996,21.093968,1.93,7.9266,3.0224,9.4943,13.710081
2023Q1,57.5574,43.5106,15.837629,143.55098,2.6617,2.022422,2.0118,90.901899,2.4733,0.4955,4.79,16.806423,12.758437,24.404973,3.5413,9.4659,4.0457,11.7382,3.636828
2023Q2,56.9137,44.4752,28.079042,56.448019,6.1813,5.037253,4.9385,74.598499,6.0197,0.8204,11.45,22.013799,17.944454,21.855105,2.8455,8.8851,2.9405,12.2978,9.121594
2023Q3,63.7158,46.9075,51.008688,33.954249,9.5726,7.547481,7.4424,63.468409,16.699,1.2923,17.07,18.766688,14.815068,26.380151,2.4668,4.3769,3.4723,22.436,12.887166
2023Q4,64.6746,49.9718,69.952599,44.84577,13.5897,10.38787,10.2485,52.402642,15.5282,5.1348,23.08,19.427077,14.885169,22.733455,2.9057,8.8934,3.585,17.8142,17.612914
2024Q1,68.5598,53.2425,19.950928,25.97168,3.9866,3.071098,3.0576,51.988418,1.0104,1.4996,6.1,19.98195,15.443473,22.341597,2.854,11.8153,3.999,17.0587,4.625105
2024Q2,74.5494,54.99,46.405882,65.26875,9.7907,7.593094,7.5248,52.369418,6.2064,1.1509,14.38,21.097976,16.433381,26.236886,4.307,10.9012,3.6956,13.1738,10.955088
2024Q3,82.3891,57.6386,65.442522,28.296814,14.2272,10.886027,10.7713,44.728879,9.1122,2.2044,20.54,21.740057,16.741795,30.040947,3.5599,15.0991,6.4636,10.2317,14.90001
2024Q4,76.4461,57.4031,87.536007,25.136175,17.9858,12.764171,12.6067,23.009834,9.0867,4.9234,23.94,20.546733,14.636374,24.910284,2.5454,13.7419,6.7121,9.2546,18.157652
2025Q1,81.6628,60.0229,22.947271,15.018566,3.7727,2.617439,2.5446,-16.779454,2.754,0.4085,4.57,16.440658,11.466176,26.499083,3.341,9.2995,7.4136,8.3409,3.328308
2025Q2,83.6945,59.2834,40.839807,-11.994332,7.4223,5.607546,5.5069,-26.816072,3.1804,1.4736,9.55,18.174198,13.864368,29.16685,3.1126,9.8676,9.9106,12.7749,7.071516
2025Q3,79.9687,59.2478,65.703588,0.398924,11.5554,8.739236,8.7099,-19.137858,13.7233,2.0167,14.86,17.587154,13.401664,25.911265,2.9897,5.5157,8.502,19.5383,11.259008
2025Q4,80.9147,61.6734,83.765957,-4.306856,15.4831,11.410764,11.2758,-10.557049,11.3126,3.7619,19.36,18.483774,13.669075,23.779802,2.5177,7.4986,2.8165,15.6015,14.552585
2026Q1,89.9422,64.4264,19.32542,-15.783362,4.1571,3.276493,3.1987,25.706469,3.0609,0.1932,5.32,21.510816,16.929631,28.369134,2.7602,8.4469,5.5927,19.6383,3.829781
2026Q2,88.3055,64.1154,39.663077,-2.881329,9.197,7.311439,7.2136,30.990625,5.6628,0.6489,11.57,23.18772,18.435704,27.39366,2.4422,9.5164,6.0778,18.4387,8.64219
