# GoalTracker 财务数据
公司,兆易创新
股票代码,603986.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,158.3959,142.145,22.298109,39.018837,11.0356,6.861032,6.5482,136.505703,-0.0065,1.0421,4.95,49.491107,30.769571,10.259641,4.389943
2022Q2,162.4272,145.3507,47.810467,31.315544,23.6377,15.269593,14.6796,98.245774,1.0622,2.248,10.73,49.440352,31.937762,10.513337,9.645652
2022Q3,166.2279,152.0763,67.69083,6.93747,32.8024,20.919137,19.9917,27.800641,4.3979,3.738,14.31,48.45908,30.903945,8.513386,13.057663
2022Q4,166.4669,151.8714,81.299924,-4.467933,38.7464,20.528843,19.0953,-14.157627,9.4969,5.5084,14.38,47.658553,25.250752,8.767795,12.804493
2023Q1,166.1488,153.6209,13.413112,-39.846414,5.1309,1.500801,1.3008,-80.135482,2.2793,1.2717,0.98,38.252497,11.189056,7.540182,0.902423
2023Q2,165.2792,152.7691,29.658121,-37.967306,9.9156,3.359816,2.7547,-81.234156,6.4456,1.9565,2.19,33.43286,11.328485,7.569108,2.025534
2023Q3,169.728,155.373,43.944877,-35.080015,15.1102,4.336755,3.4053,-82.966623,9.812,2.6321,2.81,34.384426,9.868625,8.457667,2.579905
2023Q4,164.5578,151.9958,57.608234,-29.141097,19.8302,1.611412,0.274,-98.565059,11.8675,3.4836,1.06,34.422429,2.797191,7.633833,0.97359
2024Q1,170.6618,153.3789,16.2727,21.319341,6.2095,2.047859,1.8375,41.260672,6.2748,0.705,1.34,38.159108,12.584631,10.126976,1.221802
2024Q2,174.2943,156.3488,36.090373,21.687998,13.7707,5.17,4.7345,71.866944,12.4872,1.5403,3.36,38.156054,14.32515,10.296086,3.051478
2024Q3,181.6298,159.9695,56.495968,28.56099,22.2932,8.321125,7.7747,128.31386,18.5685,3.4193,5.34,39.459784,14.72849,11.925518,4.807221
2024Q4,192.2883,166.7878,73.559777,27.689692,27.9535,11.025428,10.3048,3660.787024,20.3223,4.9902,6.94,38.001106,14.965805,13.261615,6.170061
2025Q1,194.6709,169.8286,19.090623,17.316876,7.1476,2.346301,2.2386,21.827727,3.3585,2.2121,1.41,37.440424,12.55721,12.76114,1.239019
2025Q2,198.0007,174.3525,41.503086,14.997665,15.4433,5.754756,5.4443,14.992564,9.5782,4.1248,3.41,37.210075,14.16364,11.943496,3.012305
2025Q3,207.5626,184.0001,68.316344,20.922513,26.3621,10.832279,10.4213,34.04159,17.9565,7.15,6.3,38.588311,16.165968,11.35202,5.524058
2025Q4,213.9658,192.2284,92.034631,25.11543,37.0128,16.480227,14.692,42.57409,21.285,10.4856,9.3,40.216199,18.225146,10.159302,8.257612
2026Q1,277.7368,255.1489,41.880756,119.378676,23.9042,14.612484,14.1006,529.896244,17.8306,3.2704,6.12,57.076718,35.159711,8.132851,5.989455
2026Q2,424.0517,375.4333,115.657604,178.672298,73.0152,68.567864,48.8303,796.903764,60.4834,9.4511,23.13,63.130451,59.529151,11.465209,21.582476
