# GoalTracker 财务数据
公司,松霖科技
股票代码,603992.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,39.7869,24.978,7.928877,49.303298,2.3025,0.727132,0.6443,-3.208916,1.5358,1.0352,3.21,29.039628,9.470624,37.220602,5.8374,5.5208,1.2278,6.1687,1.873923
2022Q2,40.1897,25.5567,17.11573,42.432404,5.0362,1.559637,1.7232,41.782277,3.0178,1.6699,6.77,29.424574,9.557727,36.409801,6.5038,4.2804,0.939,7.3638,4.061947
2022Q3,45.461,26.6679,24.859428,24.454608,7.4661,2.288524,2.5812,38.763496,5.0246,2.0288,9.82,30.03331,9.770174,41.339077,5.8279,3.6605,1.1425,9.3986,5.660397
2022Q4,44.1717,23.7839,31.805284,6.836746,9.7913,2.612153,2.88,13.878856,6.155,2.1394,12.81,30.785102,8.977356,46.155742,5.3102,3.6895,0.8876,11.0424,6.755785
2023Q1,43.2198,24.2929,6.047893,-23.723204,2.0281,0.437074,0.3979,-38.235725,0.9545,0.8356,1.99,33.533696,8.412136,43.792282,4.362,3.521,0.9072,9.8839,1.164318
2023Q2,43.8134,24.3574,13.949447,-18.499257,4.7868,1.204425,1.335,-22.525529,1.0482,1.0545,5.39,34.315512,9.741541,44.406618,6.1118,3.3205,0.7268,10.5777,3.088912
2023Q3,43.9371,26.1494,21.936279,-11.758713,7.6933,3.040313,2.9023,12.438113,2.9883,1.3245,13.36,35.071092,15.257856,40.48454,6.3022,3.1085,0.7841,11.6314,7.597441
2023Q4,42.5219,25.7161,29.834199,-6.19735,10.4129,3.524898,3.5774,24.214641,4.7677,1.512,15.24,34.902703,13.10891,39.522626,5.5979,3.1408,0.774,9.0358,9.022447
2024Q1,41.1073,26.9238,6.810367,12.607255,2.4154,1.113321,1.0222,156.885417,1.3101,0.6024,4.23,35.466525,16.347448,34.503657,4.7852,3.2464,0.7102,8.2898,2.662519
2024Q2,41.811,27.3463,14.475192,3.768928,5.1032,2.212392,2.0526,53.747332,1.9266,1.5064,8.22,35.254492,15.284024,34.595515,5.7484,3.3367,0.7782,6.4326,5.24681
2024Q3,41.6496,27.3294,21.916938,-0.088172,7.7343,3.207235,2.9579,1.916307,4.1637,1.7869,11.79,35.289266,14.633591,34.382558,5.2245,3.2052,0.7623,6.8778,7.62072
2024Q4,43.641,31.7446,30.149896,1.058173,10.6653,4.46415,4.1575,16.215935,6.036,2.5321,16.03,35.374313,14.806519,27.259846,5.5433,2.8966,0.3914,5.0013,10.362117
2025Q1,42.9834,32.9619,5.618862,-17.495449,1.8312,0.454556,0.3605,-64.728189,0.3408,0.9002,1.41,32.590133,8.089828,23.3148,4.7261,2.9928,0.4842,4.7145,1.049488
2025Q2,42.8848,32.3083,11.401726,-21.232641,3.8208,0.930873,0.7099,-65.414548,1.3032,1.4512,2.87,33.5103,8.164313,24.662568,4.3012,3.4511,0.5467,8.6611,2.151665
2025Q3,43.7714,32.5785,18.521315,-15.493142,6.1334,1.586515,1.2628,-57.307163,1.9207,1.9865,4.87,33.115151,8.565889,25.571086,4.9245,4.0482,0.6616,6.2651,3.629955
2025Q4,44.7725,33.3261,26.20056,-13.099005,8.6665,2.054121,1.7871,-57.013873,2.875,2.8623,6.3,33.07739,7.839991,25.565776,5.0863,4.494,0.625,9.4903,4.646623
2026Q1,45.066,36.6555,8.187239,45.709895,2.6499,0.954054,0.8776,143.419736,0.9058,0.5195,2.82,32.366812,11.652943,18.662548,5.4978,4.1554,0.5493,12.4001,2.123933
2026Q2,44.9932,35.9896,16.413391,43.955319,5.1376,1.546894,1.3954,96.559152,1.0177,0.8517,4.57,31.301297,9.424585,20.011004,6.4229,4.4836,0.5016,10.4719,3.446517
