# GoalTracker 财务数据
公司,共创草坪
股票代码,605099.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2021Q4,23.9888,19.988,23.016603,24.394686,6.422,3.802934,3.5516,-7.53407,2.5565,2.3449,20.29,27.901499,16.52257,16.677555,17.018194
2022Q1,24.7029,20.814,6.812085,27.780925,1.6411,0.852951,0.8163,-14.824129,0.385,0.7056,4.18,24.090325,12.521141,15.742557,3.503481
2022Q2,27.5242,20.4224,13.154976,12.891453,3.4076,2.08711,2.0189,1.709945,1.3639,0.9488,10.03,25.903205,15.865556,25.801787,8.103248
2022Q3,27.2411,22.111,19.524301,11.636969,5.3324,3.53953,3.4272,15.082426,3.9296,1.3145,16.73,27.311785,18.128842,18.832357,13.818221
2022Q4,28.3044,22.8932,24.70755,7.346641,7.1007,4.470305,4.2885,20.748644,5.0592,1.3343,21.01,28.739164,18.09287,19.117912,17.097084
2023Q1,29.0163,23.7831,5.587807,-17.972149,1.8054,0.936795,0.8343,2.208533,0.5072,0.1029,4.01,32.309453,16.764983,18.035245,3.268609
2023Q2,26.786,23.2937,12.702275,-3.441291,3.9116,2.26407,2.1763,7.796419,0.3219,0.5535,9.65,30.79456,17.82413,13.037739,8.219464
2023Q3,30.2693,24.1845,19.162743,-1.851835,5.9907,3.522417,3.4172,-0.29179,2.2645,0.4482,15.05,31.262064,18.381589,20.102301,12.027298
2023Q4,31.201,24.9217,24.614303,-0.377402,7.6516,4.312242,4.1865,-2.37883,4.0764,0.8923,18.32,31.085884,17.519252,20.1254,14.493609
2024Q1,30.3605,25.9924,6.88068,23.137399,2.0695,1.211784,1.1712,40.378418,0.2144,0.0813,4.76,30.077352,17.611396,14.387687,3.936822
2024Q2,29.5079,25.2257,15.093344,18.823944,4.6683,2.832001,2.7796,27.723813,0.1669,0.2216,11.13,30.92981,18.763243,14.512129,9.329765
2024Q3,30.9115,26.4718,22.590584,17.888049,6.8141,3.936154,3.884,13.659795,2.6601,0.9915,15.39,30.163337,17.423872,14.362534,12.674272
2024Q4,33.0779,27.5946,29.518371,19.923652,8.858,5.112494,5.0501,20.629472,4.655,1.7039,19.62,30.008384,17.319703,16.576834,15.907232
2025Q1,36.4732,29.1396,7.931231,15.268126,2.5815,1.559942,1.5458,31.979698,0.5936,0.942,5.5,32.548724,19.668351,20.106856,4.485747
2025Q2,36.7141,28.339,16.817838,11.425526,5.5901,3.446294,3.4184,22.980997,2.7816,1.2747,11.96,33.238845,20.491898,22.811582,9.87591
2025Q3,39.4675,30.046,24.741321,9.520502,8.4219,5.152132,5.0842,30.899967,5.4205,1.396,17.84,34.03982,20.823999,23.871569,14.203888
2025Q4,41.9613,31.5494,32.909634,11.488651,11.261,6.676742,6.514,28.986535,7.3724,2.0674,22.77,34.217971,20.288108,24.812921,17.795361
2026Q1,41.8488,33.3601,9.139778,15.237823,3.1633,2.007381,1.9852,28.426095,0.3004,2.4628,6.19,34.610089,21.963131,20.284347,4.79031
