# GoalTracker 财务数据
公司,中际联合
股票代码,605305.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2021Q4,23.7609,20.6035,8.828368,29.637013,4.2087,2.317075,2.1106,16.274482,1.1333,0.1005,13.96,47.672425,26.245793,13.288325,12.87828
2022Q1,23.3326,21.0467,1.787153,15.483419,0.8201,0.440694,0.3934,-18.359834,-0.035,0.0169,2.12,45.889506,24.658993,9.797242,1.871568
2022Q2,23.4052,20.877,3.61158,-6.429406,1.5882,0.870043,0.8001,-31.741386,0.237,0.0479,4.16,43.975753,24.09036,10.801831,3.689275
2022Q3,24.4161,21.4325,5.617189,-10.012582,2.4154,1.319722,1.1169,-35.553364,1.4176,1.8704,6.29,43.000883,23.494353,12.219772,5.478647
2022Q4,25.0399,21.6316,7.993996,-9.451042,3.491,1.551294,1.2764,-39.524765,2.3855,1.9043,7.37,43.670182,19.405734,13.611449,6.357664
2023Q1,24.9697,21.7648,1.752699,-1.927844,0.8503,0.151301,0.1156,-70.624496,0.0098,0.0255,0.7,48.513996,8.632456,12.835332,0.605088
2023Q2,25.7564,22.073,4.409813,22.102044,2.0501,0.817641,0.6971,-12.873892,-0.1454,0.0457,3.72,46.48885,18.541396,14.301027,3.219293
2023Q3,26.6753,22.225,6.993168,24.49586,3.2231,1.185442,1.0307,-7.720592,0.3627,0.0897,5.36,46.089764,16.951432,16.683234,4.584508
2023Q4,28.2087,23.0742,11.045248,38.169301,4.9605,2.06838,1.7614,37.999731,0.9824,0.2377,9.25,44.910268,18.726425,18.201596,7.76878
2024Q1,28.4162,23.6755,2.405441,37.242081,1.0756,0.583829,0.5199,349.934328,0.1724,0.0796,2.5,44.714058,24.2712,16.683297,2.062095
2024Q2,29.1125,24.0925,5.702538,29.314732,2.6908,1.404324,1.2316,76.667463,0.8023,0.186,5.92,47.185481,24.626293,17.243271,4.899847
2024Q3,32.6416,25.0301,9.340824,33.570699,4.4439,2.382915,2.1466,108.272735,1.8814,0.2732,9.9,47.575077,25.510763,23.31836,7.832063
2024Q4,33.1976,25.8816,12.987089,17.580783,5.908,3.148049,2.6968,53.103203,2.7984,0.3804,12.88,45.491029,24.239833,22.037781,10.253178
2025Q1,33.6989,26.8754,3.1681,31.705583,1.5411,0.98536,0.9314,79.125178,0.0128,0.0557,3.74,48.644663,31.102568,20.248526,2.945921
2025Q2,35.4349,27.5571,8.18413,43.517329,4.1041,2.620676,2.4357,97.770684,1.0859,0.0907,9.69,50.146798,32.021439,22.231761,7.636834
2025Q3,36.744,28.5343,13.520907,44.750685,6.8411,4.384444,4.1485,93.2611,1.8365,0.125,15.91,50.596631,32.414845,22.34278,12.532687
2025Q4,37.8689,29.4129,18.784832,44.64236,8.8804,5.303364,5.0111,85.817815,2.7073,0.1649,19.11,47.27447,28.21656,22.329549,14.916827
2026Q1,37.2981,30.6543,4.385103,38.414295,2.211,1.288294,1.2046,29.336785,-0.0902,0.0312,4.29,50.419821,29.338422,17.812706,3.423098
