# GoalTracker 财务数据
公司,巴比食品
股票代码,605338.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,24.7667,19.1545,3.095038,22.383628,0.8464,0.014528,0.3881,192.606048,-0.1918,0.3959,0.08,27.34602,0.380676,22.66013,0.047045
2022Q2,25.9167,19.6692,6.854532,15.187155,1.9549,1.178955,0.9307,61.229886,0.4453,0.634,5.99,28.519275,17.087133,24.106268,4.571734
2022Q3,26.5616,19.8206,11.007068,13.082947,3.0444,1.338913,1.3794,36.300772,1.3098,0.9978,6.85,27.658255,12.016498,25.378797,5.098608
2022Q4,26.7166,20.6992,15.251414,10.88339,4.2258,2.227134,1.8506,21.732564,1.919,1.2569,11.21,27.707867,14.445243,22.523231,8.467229
2023Q1,26.8135,21.1196,3.195167,3.235148,0.7731,0.41032,0.2016,-48.063102,-0.1139,0.7164,1.97,24.195476,12.513259,21.23514,1.493812
2023Q2,26.8113,20.8053,7.373443,7.570334,1.889,0.819602,0.6684,-28.18607,0.7909,1.1516,3.87,25.618596,11.073219,22.401034,3.05066
2023Q3,27.7299,21.5511,11.863439,7.780193,3.098,1.546698,1.2235,-11.305585,1.6267,1.4589,7.12,26.113497,13.099637,22.282212,5.7086
2023Q4,27.8119,22.1081,16.302333,6.89063,4.2954,2.137155,1.7804,-3.796708,2.4442,1.6604,10.02,26.34857,13.209317,20.508395,7.898346
2024Q1,27.7911,22.525,3.538244,10.737378,0.9171,0.396238,0.377,87.066124,0.1252,0.3119,1.78,25.920302,11.388165,18.948982,1.44935
2024Q2,28.2144,22.2768,7.635848,3.558783,1.9983,1.114949,0.8784,31.42352,1.0241,0.623,4.93,26.169569,14.795913,21.044473,4.033079
2024Q3,28.1768,22.3139,12.104991,2.036105,3.1957,1.943863,1.4671,19.915078,1.7712,1.0521,8.61,26.40025,16.260575,20.807418,7.031205
2024Q4,28.5313,22.8132,16.7145,2.528275,4.4637,2.765933,2.1018,18.052765,2.1739,2.0181,12.24,26.705851,16.753308,20.0414,9.939915
2025Q1,28.4146,23.1859,3.695717,4.450585,0.9414,0.371954,0.3896,3.334628,-0.0196,0.3297,1.63,25.473392,10.038802,18.401577,1.303012
2025Q2,27.3586,22.2184,8.346498,9.306753,2.2545,1.316506,1.0127,15.287877,1.0362,1.0492,5.83,27.011781,15.84185,18.787993,4.731594
2025Q3,28.3814,22.892,13.563704,12.050508,3.799,2.012174,1.7517,19.396651,2.0025,1.0981,8.94,28.008863,14.647037,19.341649,6.981505
2025Q4,28.9891,23.6172,18.5905,11.223788,5.3057,2.730391,2.4519,16.659906,3.1942,1.0668,11.97,28.539936,14.587163,18.530713,9.429107
2026Q1,28.92,24.0959,3.800046,2.822985,1.0606,0.472116,0.4145,6.377019,0.0707,0.2597,2,27.911144,12.596944,16.680963,1.653245
2026Q2,27.2744,22.1042,8.516014,2.030985,2.4947,1.346502,1.0582,4.498049,1.4239,0.4203,5.71,29.293736,15.991693,18.956019,4.840992
