# GoalTracker 财务数据
公司,东鹏饮料
股票代码,605499.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,89.5556,39.8276,20.065429,17.255171,8.6656,3.446489,3.312,-1.601342,2.9135,2.005,7.81,43.186914,17.176255,55.527536,4.116181
2022Q2,96.4753,43.9274,42.91274,16.539081,18.3153,7.546298,7.1465,8.274905,7.1316,3.1927,17.49,42.680372,17.585215,54.46772,8.654993
2022Q3,104.8293,48.0363,66.443478,19.498092,27.7397,11.655061,10.6422,10.212652,14.2188,6.0254,26.36,41.749358,17.541316,54.176668,12.756301
2022Q4,118.6996,50.646,85.053897,21.891747,35.9993,14.405206,13.52,24.690091,20.2611,7.9269,31.65,42.325261,16.936562,57.332619,14.653995
2023Q1,128.2794,55.5333,24.90866,24.137196,10.8422,4.972517,4.5328,36.859141,7.24,2.1042,9.37,43.527822,19.963006,56.709118,4.026673
2023Q2,135.183,54.3467,54.601849,27.239252,23.5357,11.081202,9.9046,38.593613,12.9795,3.9206,20.09,43.104293,20.294555,59.797692,8.72939
2023Q3,146.2998,59.7592,86.409124,30.049067,36.739,16.556009,15.0213,41.148511,20.1345,6.1491,29.75,42.517543,19.160024,59.152945,12.495129
2023Q4,147.1005,63.2376,112.627941,32.419494,48.5114,20.397728,18.6969,38.29048,32.8127,9.1772,35.82,43.072263,18.110717,57.01063,15.348174
2024Q1,158.1628,69.8816,34.821678,39.797472,14.8935,6.638804,6.2443,37.758039,8.5954,2.5312,9.97,42.770705,19.065147,55.816672,4.349559
2024Q2,186.4733,70.6488,78.732879,44.194527,35.1154,17.305915,17.0691,72.335006,22.6729,4.993,24.63,44.60073,21.980544,62.113191,10.376065
2024Q3,199.0954,70.2287,125.582815,45.335133,56.5752,27.073924,26.6323,77.297432,30.3542,10.0602,37.45,45.050074,21.558622,64.726132,15.640811
2024Q4,226.763,76.9158,158.388518,40.629862,70.9729,33.267089,32.6225,74.481179,57.8941,16.8748,46.93,44.809377,21.001705,66.080969,17.794887
2025Q1,226.8182,86.6188,48.480717,39.225679,21.5588,9.800095,9.5879,53.54781,6.3149,6.3214,11.99,44.468814,20.213302,61.811368,4.32097
2025Q2,229.154,87.3912,107.366279,36.36778,48.4721,23.747508,22.7046,33.015861,17.4046,10.1204,28.18,45.146518,22.116018,61.863534,10.416434
2025Q3,239.4335,88.0121,168.439679,34.126376,76.0822,37.609233,35.3985,32.915716,31.3263,17.0685,43.35,45.168802,22.321419,63.241501,16.129736
2025Q4,267.2073,94.238,208.752731,31.797894,93.7405,44.152631,41.8417,28.260151,61.7424,22.6916,51.61,44.905034,21.144722,64.732267,17.871594
2026Q1,368.6905,204.6905,58.882489,21.455482,27.6098,12.574228,11.9992,25.149202,4.5249,6.0035,8.42,46.889691,21.345756,44.481748,3.953123
2026Q2,358.0025,195.2117,124.430366,15.893339,60.1806,28.668019,25.976,14.408341,24.926,11.3516,19.03,48.364897,23.042549,45.471967,9.171938
