# GoalTracker 财务数据
公司,澜起科技
股票代码,688008.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,93.9158,87.6678,9.004232,200.612295,3.8885,3.060985,2.306,210.95633,2.5875,0.5411,3.57,43.18534,33.994965,6.652749,3.336198
2022Q2,103.5443,90.4706,19.273341,166.036124,8.2357,6.809565,4.9307,177.398282,6.1799,0.7063,7.66,42.731206,35.331553,12.626199,7.051803
2022Q3,102.6419,96.5264,28.80827,80.877345,12.5884,9.989556,7.6607,112.390834,5.0946,1.3118,11,43.697258,34.676366,5.95808,10.393583
2022Q4,106.8605,99.2726,36.722585,43.334638,17.0551,12.993781,8.8314,43.042823,6.8884,2.2686,14.18,46.443131,35.383449,7.100764,13.228787
2023Q1,105.1968,99.8153,4.195279,-53.407696,2.2357,0.197207,0.003,-99.871665,-0.6413,1.1533,0.2,53.291624,4.700699,5.115662,0.185994
2023Q2,109.4315,101.2993,9.276162,-51.870505,5.2248,0.818558,0.0381,-99.226876,1.4629,2.0152,0.81,56.324755,8.834349,7.431325,0.757761
2023Q3,106.1971,101.3489,15.251666,-47.058029,9.0967,2.337574,1.558,-79.663054,3.6231,2.6411,2.3,59.643785,15.342246,4.56529,2.196541
2023Q4,106.9754,102.0662,22.857385,-37.756601,13.4652,4.509098,3.6993,-58.11194,7.3125,4.2399,4.44,58.909724,19.737493,4.589106,4.219568
2024Q1,107.0752,102.1447,7.372629,75.736333,4.2543,2.234084,2.1964,74117.630423,3.5485,1.7206,2.17,57.704047,30.302429,4.604775,2.087437
2024Q2,106.6078,101.7001,16.649778,79.489947,9.6195,5.93154,5.4428,14177.855699,8.195,2.4813,5.73,57.775674,35.62535,4.603547,5.554314
2024Q3,111.8198,105.4703,25.708703,68.563242,14.9407,9.780771,8.7382,460.876866,12.6071,3.0273,9.46,58.11516,37.978527,5.678293,8.925048
2024Q4,122.1891,113.9651,36.389111,59.200673,21.153,14.117789,12.4829,237.437696,16.9132,3.7912,13.41,58.129921,36.844432,6.730598,11.701079
2025Q1,126.6566,119.4171,12.222095,65.776607,7.3882,5.25326,5.026,128.834874,1.8825,0.589,4.5,60.449781,41.213781,5.715866,4.048442
2025Q2,128.7888,120.6035,26.334565,58.167664,15.9163,11.590704,10.9139,100.520914,10.5869,1.1195,9.7,60.438957,42.240155,6.355611,8.864334
2025Q3,137.5163,122.5709,40.576885,57.833264,24.938,16.32284,14.6742,67.931386,16.0067,2.2786,13.6,61.458707,38.84883,10.868082,12.139636
2025Q4,137.4815,128.7116,54.563168,49.943669,33.9536,22.3557,20.2163,61.951797,20.2202,2.6583,18.25,62.22798,39.030651,6.37898,16.402597
2026Q1,216.8054,207.7548,14.607183,19.514563,10.1941,8.473753,6.0384,20.141721,6.2664,1.0289,5.39,69.788221,56.802557,4.17452,4.683919
2026Q2,231.7772,214.3734,33.354975,26.65854,21.785,19.973745,13.2248,21.174253,13.2803,2.5529,10.72,65.312695,58.195165,7.508839,10.513489
