# GoalTracker 财务数据
公司,海光信息
股票代码,688041.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,103.0097,65.2892,9.674411,529.761705,6.2842,1.434577,1.3421,234.370466,-7.3695,6.113,2.6031,64.956482,20.685941,36.618385,1.928135
2022Q2,110.9245,70.7815,25.297316,342.747406,14.6463,4.759028,4.359,743.409299,-8.564,6.9654,8.33,57.89672,27.042567,36.189458,6.349056
2022Q3,218.7943,179.6542,38.198732,180.877421,20.6852,6.521044,6.0362,,-9.5453,10.4675,9.31,54.151582,24.199028,17.888985,5.717156
2022Q4,219.3449,182.3018,51.252667,121.833134,26.8645,8.036981,7.4862,182.008984,-0.4326,13.814,8.49,52.415754,21.949841,16.888055,6.946119
2023Q1,222.0972,186.2431,11.613131,20.039676,7.4021,2.393943,1.9051,41.945207,-3.8314,2.1565,1.39,63.739325,28.572299,16.143444,1.503318
2023Q2,228.714,191.5378,26.116941,3.239969,16.419,6.774518,6.19,42.00322,3.7839,3.889,3.88,62.867051,34.139149,16.25446,3.979879
2023Q3,237.6204,195.4121,39.42723,3.216069,23.9028,9.016345,8.3389,38.149408,9.2198,7.3444,5.13,60.625034,30.855909,17.762894,5.324532
2023Q4,229.0255,203.2012,60.11999,17.301193,35.8727,12.631786,11.3636,51.793126,8.1371,9.1811,7.11,59.668589,28.296505,11.275722,7.588305
2024Q1,233.2562,207.7696,15.920799,37.093074,10.01,2.885373,2.7188,42.710242,-0.6788,2.1085,1.53,62.873754,24.769948,10.926461,1.706134
2024Q2,243.3345,212.0066,37.629126,44.079379,23.8666,8.533959,8.1763,32.089403,-1.1332,4.9925,4.45,63.425855,32.576413,12.874402,5.190203
2024Q3,270.6092,220.1984,61.36539,55.642156,40.2765,15.257183,14.7489,76.868212,3.9858,7.3318,7.88,65.633828,34.332375,18.628616,8.433441
2024Q4,285.5949,226.5196,91.621481,52.397699,58.3814,19.309905,18.1578,59.789221,9.7708,9.4525,9.92,63.720196,29.654149,20.684996,10.559072
2025Q1,310.0639,233.9205,24.001488,50.755552,14.6877,5.058942,4.4216,62.633224,25.2214,2.4114,2.47,61.194932,29.742704,24.55731,2.396906
2025Q2,323.0159,239.5192,54.642351,45.212914,32.8657,12.014518,10.9001,33.313715,21.7664,1.9227,5.75,60.146919,30.047107,25.849108,5.395384
2025Q3,331.8169,251.7682,94.899748,54.647022,57.0321,19.614464,18.1671,23.175417,22.545,8.9876,9.3,60.097247,29.931889,24.124345,9.201407
2025Q4,356.3817,259.684,143.768895,56.916143,83.1393,25.448909,23.0467,26.924621,20.9694,11.6999,11.87,57.828432,25.172773,27.133184,11.274747
2026Q1,351.8469,271.6282,40.335922,68.055921,22.4284,6.870943,5.9688,34.992273,0.6762,3.8239,2.99,55.603983,21.751364,22.799326,2.477622
2026Q2,360.3434,291.1413,90.990208,66.519571,50.2348,17.984679,16.3141,49.668948,-4.2754,9.1442,7.56,55.209049,22.685362,19.204489,5.759937
