# GoalTracker 财务数据
公司,东芯股份
股票代码,688110.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,42.9863,40.8521,3.444608,82.862018,1.7193,1.101158,1.1006,280.880392,0.8805,0.1484,2.84,49.91309,35.4758,4.964815,2.883079
2022Q2,43.8372,41.2506,7.137372,56.956483,3.2936,2.146586,2.1022,184.199636,-1.8503,0.4548,5.46,46.146284,33.902862,5.900374,5.652258
2022Q3,44.2727,41.8716,9.477348,20.714323,4.0019,2.711014,2.5551,57.724667,-1.7511,0.7245,6.89,42.226445,32.593241,5.423562,7.178903
2022Q4,43.2283,41.1596,11.460009,1.033219,4.6505,1.854618,1.6489,-35.349442,-2.6102,0.8089,4.74,40.57987,18.967965,4.785649,5.113902
2023Q1,42.5391,40.7269,1.238359,-64.049342,0.2083,-0.343673,-0.3758,-134.148646,-0.3299,0.112,-0.88,16.82401,-27.82609,4.259958,-0.803538
2023Q2,41.627,39.8724,2.396419,-66.424347,0.3052,-0.751075,-0.8098,-138.519412,-1.1772,0.14,-1.93,12.736693,-30.266043,4.215079,-1.7095
2023Q3,40.6533,38.8815,3.711327,-60.840023,0.4042,-1.462991,-1.5733,-161.575239,-2.3142,0.2029,-3.82,10.890942,-38.319241,4.35833,-3.390855
2023Q4,38.4717,36.9318,5.305882,-53.700887,0.6218,-3.062497,-3.2713,-298.396938,-3.0176,0.2728,-8.2,11.719283,-56.643331,4.002651,-7.357232
2024Q1,37.5189,36.0521,1.062422,-14.207241,0.1284,-0.445046,-0.4765,-26.783325,-0.6969,0.02,-1.28,12.088136,-45.414864,3.90947,-1.269889
2024Q2,37.517,35.5947,2.662836,11.117294,0.3544,-0.911211,-0.9932,-22.657556,-1.7305,0.1436,-2.66,13.307436,-34.967497,5.123618,-2.450702
2024Q3,36.2308,34.3178,4.469947,20.440666,0.6447,-1.303409,-1.5289,2.823127,-2.4439,0.2363,-3.84,14.423426,-30.538296,5.280006,-3.654623
2024Q4,35.3078,33.6958,6.409535,20.800556,0.8969,-1.671419,-2.0069,38.651162,-2.7764,0.4107,-4.99,13.993491,-27.337989,4.565694,-4.749934
2025Q1,34.3558,33.0928,1.422538,33.895741,0.2016,-0.592418,-0.6578,-38.047793,-0.5435,0.0508,-1.86,14.171727,-44.554455,3.676326,-1.819612
2025Q2,34.7806,32.9381,3.429917,28.806896,0.6436,-1.109685,-1.2672,-27.586178,-0.5639,0.1774,-3.52,18.764352,-36.275522,5.297538,-3.550431
2025Q3,34.3665,32.5752,5.725415,28.08686,1.2552,-1.461843,-1.667,-9.034174,-1.678,0.214,-4.65,21.922661,-28.791147,5.21247,-4.731763
2025Q4,38.4017,36.2219,9.214253,43.758513,2.2589,-1.947937,-2.22,-10.619416,-1.5818,0.3915,-6.22,24.514942,-23.424697,5.676164,-5.856534
2026Q1,39.9383,37.4114,4.793237,236.949588,2.5485,1.382845,1.3203,300.716351,0.4091,0.0667,3.91,53.169599,31.985157,6.327044,3.914029
2026Q2,47.9781,43.2975,14.9696,336.442104,10.1286,6.592587,6.364,602.195384,5.7249,0.2436,17.36,67.661073,45.80005,9.755732,15.874287
