# GoalTracker 财务数据
公司,生益电子
股票代码,688183.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,66.5826,39.7877,8.603649,7.239818,2.0687,0.747161,0.7169,71.08964,1.8867,1.3782,1.9,24.04433,8.68423,40.243048,1.141875
2022Q2,65.4176,39.3223,17.990647,6.532285,4.3087,1.609863,1.5619,50.144989,3.7955,3.0196,4.09,23.949894,8.948335,39.890446,2.48243
2022Q3,66.0666,40.0717,26.756797,0.325224,6.3706,2.359151,2.288,52.670063,6.1459,5.1445,6.02,23.809159,8.817014,39.346577,3.619728
2022Q4,69.6132,40.8411,35.346889,-3.090035,8.43,3.129093,2.7327,19.709606,7.4104,6.8725,7.88,23.849282,8.852528,41.331337,4.673911
2023Q1,67.0626,40.8007,7.42605,-13.68721,1.3554,-0.04008,-0.073,-110.182164,2.1548,1.5657,-0.1,18.251358,-0.539727,39.160225,-0.05865
2023Q2,65.0517,39.6069,15.830327,-12.008014,2.7342,0.095713,0.0262,-98.322858,2.5923,3.9809,0.24,17.272196,0.604617,39.114831,0.14215
2023Q3,64.9344,39.3333,23.910943,-10.636002,3.879,-0.176469,-0.2748,-112.01049,3.5884,5.011,-0.44,16.222606,-0.738026,39.426103,-0.262315
2023Q4,62.8406,39.267,32.730128,-7.403085,4.6783,-0.249936,-0.4366,-115.978647,4.3138,6.1886,-0.63,14.293452,-0.763628,37.513283,-0.377394
2024Q1,62.7827,39.4952,8.846127,19.122919,1.656,0.264487,0.2427,432.479132,0.4571,1.5023,0.67,18.720006,2.98986,37.092223,0.421079
2024Q2,66.3881,38.8863,19.731599,24.644291,3.8479,0.960887,0.9055,3356.726989,1.9886,2.3858,2.38,19.501099,4.869789,41.425851,1.487111
2024Q3,69.6486,40.4837,31.79337,32.965771,6.8277,1.865236,1.7758,746.236368,3.3074,3.3077,4.5,21.47509,5.866745,41.874458,2.81568
2024Q4,76.8555,42.7319,46.866308,43.190115,10.6534,3.319732,3.2705,848.998092,3.5073,4.2465,8.24,22.731477,7.083407,44.399724,4.752792
2025Q1,82.2135,45.2175,15.794481,78.546842,4.7128,2.001828,1.9797,715.716958,1.828,1.9387,4.56,29.838472,12.674227,44.999894,2.516931
2025Q2,92.3189,47.7197,37.687181,90.999117,11.4524,5.305139,5.2813,483.254981,4.3257,6.0094,11.65,30.388183,14.076773,48.31,6.271797
2025Q3,112.1785,51.5826,68.289428,114.791409,21.8369,11.146778,11.1188,526.110658,8.0756,11.3817,23.06,31.976932,16.322846,54.017368,11.793409
2025Q4,112.3839,57.4551,94.937638,102.57119,29.5863,14.731489,14.6754,348.721332,16.2112,16.3986,29.74,31.163946,15.517016,48.875982,15.569159
2026Q1,116.81,61.3042,24.105684,52.620929,8.4865,4.447182,4.4112,122.827668,6.1534,6.5383,7.47,35.205506,18.448686,47.51803,3.880716
2026Q2,140.837,65.122,57.835391,53.461707,19.8426,11.107076,11.1063,110.294473,9.1744,12.6815,17.95,34.308836,19.204635,53.760715,8.772638
