# GoalTracker 财务数据
公司,寒武纪
股票代码,688256.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,66.1371,57.8438,0.629907,74.339729,0.3564,-2.873835,-3.5888,-60.847196,-3.9375,0.9302,-4.95,56.580799,-473.244143,12.539525,-4.382902
2022Q2,62.2414,55.6419,1.717836,24.596262,0.9436,-6.224093,-7.5734,-47.000182,-8.3348,1.8653,-10.99,54.929835,-373.950508,10.603152,-9.723326
2022Q3,60.0801,52.6619,2.643647,18.859017,1.5376,-9.447784,-11.4482,-31.407389,-11.5764,2.4019,-17.12,58.161709,-372.011648,12.34718,-15.133581
2022Q4,57.7082,49.3972,7.290346,1.108023,4.7941,-12.563531,-15.7927,-42.180525,-13.2986,2.8414,-23.4,65.759877,-181.711048,14.401775,-20.763946
2023Q1,53.0821,46.4564,0.75288,19.522281,0.5782,-2.550323,-3.0195,15.865013,-2.6857,0.2338,-5.38,76.792103,-348.791268,12.482064,-4.740447
2023Q2,66.332,61.4981,1.14468,-33.365019,0.8111,-5.448286,-6.4077,15.392628,-4.9851,0.4574,-10.59,70.857965,-488.983392,7.287526,-9.024963
2023Q3,65.8132,58.8029,1.458108,-44.844839,1.0183,-8.077341,-9.4852,17.146481,-5.2411,0.6106,-14.91,69.839004,-569.653526,10.651774,-13.448943
2023Q4,64.1804,57.2953,7.093866,-2.695076,4.9059,-8.484401,-10.4286,33.96552,-5.9554,1.0038,-15.34,69.1565,-123.779821,10.72769,-14.407871
2024Q1,61.0396,55.4926,0.256661,-65.909415,0.1479,-2.266773,-2.6114,13.515255,-2.3411,0.3795,-4.1,57.60986,-892.429461,9.087515,-3.658392
2024Q2,61.4052,53.0098,0.647653,-43.420552,0.4062,-5.301096,-6.0888,4.975491,-6.3122,1.1664,-9.75,62.720416,-823.486786,13.672075,-8.493558
2024Q3,60.948,51.4665,1.853066,27.087012,1.0234,-7.244917,-8.6245,9.074218,-18.0971,2.1118,-13.48,55.22925,-393.122369,15.556796,-11.643746
2024Q4,67.1781,54.3048,11.744644,65.560557,6.6605,-4.523388,-8.6495,17.059872,-16.1796,3.6605,-8.18,56.711355,-38.90511,19.162978,-6.956942
2025Q1,69.4498,58.3596,11.113989,4230.220302,6.2227,3.554652,2.7596,205.676941,-13.9936,1.6827,6.32,55.989713,31.962246,15.968546,5.199935
2025Q2,84.2012,67.6279,28.806435,4347.816271,16.1101,10.380826,9.1257,249.875163,9.1115,2.5537,17.31,55.925354,36.021658,19.68293,13.709345
2025Q3,125.9215,113.1836,46.074244,2386.379293,25.4758,16.046457,14.1889,264.517687,-0.293,3.2858,25.21,55.292884,34.814203,10.115781,16.613577
2025Q4,134.3771,118.4325,64.971962,453.205046,35.8331,20.592285,17.6993,304.628145,-4.984,5.687,26.96,55.151682,31.682703,11.865562,20.426034
2026Q1,154.009,128.783,28.846967,159.555473,15.6727,10.132136,9.343,238.559072,8.3397,1.9894,8.2,54.330376,35.120677,16.379524,7.026171
2026Q2,181.9927,135.6234,59.955736,108.133137,33.1259,23.109121,21.6556,137.303797,3.1131,4.3983,18.05,55.250573,38.540955,25.478686,14.607911
