# GoalTracker 财务数据
公司,伟测科技
股票代码,688372.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2022Q1,,,1.655977,,0.8392,0.449846,,,0.7056,2.1206,,50.678073,27.16499,,
2022Q2,18.621,10.1301,3.559671,66.212273,1.7689,1.140524,1.0953,104.146727,2.8616,3.4077,11.93,49.69198,32.040143,45.598577,6.64747
2022Q3,20.5416,10.6546,5.430205,59.252181,2.6722,1.661437,1.529,82.698248,3.7619,5.9472,16.92,49.210028,30.596218,48.131642,9.170306
2022Q4,33.8554,23.7985,7.330233,48.642774,3.5606,2.436265,2.0179,58.037674,4.9974,8.0242,19.85,48.573564,33.23585,29.705549,9.833773
2023Q1,33.7193,24.068,1.401262,-15.381534,0.515,0.27309,0.2024,,0.4797,3.3781,1.14,36.749628,19.488879,28.622419,0.808261
2023Q2,33.8493,23.7648,3.118824,-12.384506,1.1798,0.707634,0.5265,-51.933048,1.7922,6.492,2.95,37.828872,22.689145,29.792203,2.090356
2023Q3,34.296,24.1536,5.155206,-5.064244,1.9816,0.896357,0.6663,-56.425902,3.1053,8.8719,3.75,38.438393,17.38742,29.573324,2.630487
2023Q4,36.081,24.5867,7.365248,0.477684,2.8697,1.179963,0.9068,-55.062222,4.6255,12.2156,4.89,38.963274,16.02068,31.857091,3.374385
2024Q1,37.6289,24.7524,1.835531,30.991285,0.4871,-0.003057,-0.0413,-120.386017,0.8858,3.0538,-0.0124,26.538988,-0.166561,34.219663,-0.008295
2024Q2,40.0492,24.6707,4.299152,37.84532,1.2276,0.108566,0.0422,-91.988804,2.0241,6.3989,0.44,28.55522,2.525295,38.398959,0.285212
2024Q3,43.8376,25.4234,7.403932,43.620478,2.5455,0.620178,0.5265,-20.977127,3.0038,10.0957,2.47,34.380906,8.376336,42.005404,1.552024
2024Q4,49.1902,26.1908,10.768699,46.20958,3.9964,1.282288,1.0781,18.893826,6.2181,14.8277,5.06,37.11089,11.907547,46.756106,3.007551
2025Q1,51.7427,26.5584,2.852176,55.386939,0.9318,0.259182,0.1418,443.636894,1.9788,4.8251,0.98,32.669036,9.087171,48.672255,0.513573
2025Q2,63.1942,27.2971,6.342526,47.529694,2.1879,1.010784,0.5372,1173.613667,3.3944,10.7697,3.78,34.495957,15.936613,56.80445,1.798798
2025Q3,69.0704,28.525,10.825693,46.215464,4.1869,2.024318,1.439,173.30759,4.9993,18.4131,7.41,38.675154,18.699205,58.701555,3.423488
2025Q4,77.2648,29.6737,15.746424,46.22402,6.199,3.031986,2.266,110.179494,7.0608,29.4598,10.85,39.367859,19.255079,61.594811,4.795361
2026Q1,87.457,41.7696,4.899756,71.790138,1.713,0.70858,0.6595,365.218731,2.529,9.8781,2.36,34.959904,14.461534,52.239882,0.860335
2026Q2,94.3425,42.2792,10.718598,68.995718,3.6004,1.593111,1.4575,171.331526,5.4749,17.3512,4.41,33.590206,14.863053,55.185472,1.856693
