# GoalTracker 财务数据
公司,思瑞浦
股票代码,688536.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,accountsReceivable,inventory,contractLiab,cash,totalAssetTurnover
2022Q1,35.7164,33.5061,4.424089,164.70079,2.5198,0.91459,0.7249,282.739259,1.5651,0.3117,2.8,56.955813,20.672959,6.188582,2.5819,1.517,0.0375,7.9035,2.608061
2022Q2,38.0054,35.2462,9.980699,105.893084,5.8208,2.350724,1.9267,63.022544,3.0905,0.8179,7,58.320778,23.552703,7.259962,3.5232,1.599,0.0384,25.772,6.491506
2022Q3,39.1129,36.5568,14.686305,64.827376,8.5925,2.769442,2.1661,-15.95823,4.2752,1.2227,8.08,58.507013,18.857307,6.535029,2.8423,1.9898,0.0345,28.0142,7.532605
2022Q4,41.5132,37.8567,17.833539,34.496428,10.4524,2.668074,1.8723,-49.257865,5.3006,1.8438,7.79,58.610679,14.96099,8.807946,1.8636,2.9098,0.0423,21.34,7.027496
2023Q1,40.8629,38.179,3.072593,-30.548566,1.7776,0.016398,-0.1854,-125.571592,-0.9902,0.3549,0.04,57.852908,0.533702,6.568078,2.115,3.3797,0.0024,15.1119,0.039814
2023Q2,40.926,38.2113,6.12009,-38.680746,3.3504,0.140877,-0.297,-115.416074,-0.921,1.1018,0.37,54.744194,2.301884,6.633118,2.1681,3.6478,0.0025,8.3909,0.341773
2023Q3,40.6005,37.8825,8.131938,-44.629108,4.3567,0.163044,-0.493,-122.759614,-1.4308,1.7502,0.43,53.575542,2.004984,6.694527,1.5954,4.2874,0.0881,7.6317,0.397118
2023Q4,59.078,55.7887,10.935191,-38.681881,5.6625,-0.347131,-1.1252,-160.095915,-1.649,2.3432,-0.85,51.782078,-3.174437,5.567605,2.0191,4.2816,0.0514,14.8998,-0.690182
2024Q1,58.0635,55.0801,2.000117,-34.904596,0.9528,-0.491676,-0.7375,-297.821032,0.1218,0.5837,-0.88,47.634947,-24.58238,5.138197,1.3762,4.1122,0.0568,10.9386,-0.839457
2024Q2,57.5677,54.1883,5.066828,-17.209917,2.4335,-0.656385,-1.1287,-280.009609,0.3763,0.8766,-1.19,48.028009,-12.954546,5.870211,1.6175,3.6796,0.1306,11.3386,-1.125433
2024Q3,57.4397,53.7788,8.482186,4.307071,4.1957,-0.987262,-1.6911,-243.030291,0.1734,1.4639,-1.8,49.464808,-11.639237,6.373435,1.9899,3.4758,0.1392,14.0646,-1.694613
2024Q4,62.0089,53.0109,12.195382,11.524184,5.8766,-1.972169,-2.8104,-149.76589,0.7059,2.1287,-3.64,48.187272,-16.171441,14.510917,1.9571,3.8555,0.1562,12.9894,-3.257444
2025Q1,61.7734,53.2003,4.217944,110.884838,1.9583,0.15563,0.0174,102.365823,0.2832,0.7475,0.29,46.428644,3.689703,13.878303,2.3263,3.3235,0.1668,15.0286,0.251457
2025Q2,62.7106,53.7822,9.491495,87.326196,4.4023,0.656867,0.377,133.396356,0.6639,1.0534,1.23,46.381478,6.920587,14.237401,2.464,3.7397,0.1718,10.2498,1.053351
2025Q3,67.5703,58.2998,15.307645,80.468153,7.1126,1.260099,0.8291,149.025705,1.2743,1.3396,2.29,46.464577,8.231827,13.719876,2.6758,4.4751,0.1831,7.9266,1.944908
2025Q4,68.8262,62.1441,21.420913,75.647737,9.9909,1.729918,1.1591,141.245294,1.4777,1.8892,3.08,46.640646,8.075838,9.708787,2.7185,4.8954,0.1723,4.7598,2.644424
2026Q1,70.9462,63.6131,7.023044,66.503969,3.3469,1.054005,0.9345,5256.286257,1.9925,0.7327,1.68,47.65605,15.007811,10.33615,3.215,5.4089,0.2459,7.9113,1.508173
2026Q2,74.3016,66.212,16.058244,69.185609,7.8692,3.077578,2.7041,617.362853,3.5523,1.3534,4.81,49.003902,19.165098,10.887421,4.1588,5.5628,0.2094,8.9706,4.300462
