# GoalTracker 财务数据
公司,中芯国际
股票代码,688981.SH
季度,totalAssets,equity,revenue,revenueYoy,grossProfit,netProfit,deductedNetProfit,deductedNetProfitYoy,opCashFlow,capex,roe,grossMargin,netMargin,assetLiabRatio,totalAssetTurnover
2021Q4,2299.3281,1619.7483,356.30634,29.704093,104.4156,107.33098,56.5584,233.303809,208.4499,283.619,10.3,29.305019,31.440656,29.55558,5.156095
2022Q1,2381.0588,1672.9072,118.5401,62.562718,48.8048,28.43451,25.9844,282.985688,104.1379,64.7176,2.6,41.171536,30.527416,29.74104,1.546335
2022Q2,2713.2901,1832.1091,245.92245,52.83812,98.9999,62.5177,51.7143,121.086108,244.915,131.6592,5.4,40.256552,31.662494,32.476475,3.106767
2022Q3,2970.0291,1985.1055,377.63559,48.845388,150.6936,93.89507,79.7081,113.597261,311.5974,278.6953,7.8,39.904502,30.782324,33.162087,4.412114
2022Q4,3051.0369,2017.0471,495.16084,38.970539,189.6341,121.33079,101.3399,79.177448,365.9121,422.0559,10,38.297477,29.593475,33.889783,5.477581
2023Q1,3100.9536,2037.9704,102.08898,-13.878105,23.2408,15.91324,8.7587,-66.292391,53.0014,91.4076,1.2,22.765219,18.012502,34.279235,0.597816
2023Q2,3310.3308,2165.2016,213.1779,-13.31499,47.8344,29.97265,17.649,-65.872174,109.5331,212.741,2.2,22.43871,17.24592,34.592593,1.155867
2023Q3,3356.8769,2195.8677,330.98244,-12.354013,76.1629,36.74784,22.7196,-71.496519,163.4753,373.2726,2.7,23.011169,14.506066,34.58599,1.498539
2023Q4,3384.632,2184.7025,452.50425,-8.614694,99.0412,48.22814,32.6952,-67.737104,230.4776,538.6507,3.5,21.887361,14.13501,35.452289,1.987719
2024Q1,3417.5773,2187.1763,125.93782,23.360837,17.865,5.08959,6.2233,-28.947462,35.6658,135.4433,0.4,14.185596,3.574462,36.002141,0.132357
2024Q2,3374.6657,2207.1466,262.6931,23.227173,36.5315,16.46285,12.8837,-27.000087,32.4633,303.4917,1.2,13.906532,6.250442,34.596585,0.485834
2024Q3,3309.5483,2202.9948,418.7872,26.528525,73.8712,27.06192,21.9945,-3.191344,122.6418,437.2131,1.9,17.639314,7.719099,33.435182,0.965812
2024Q4,3534.153,2291.0779,577.9557,27.723817,107.443,36.98665,26.4542,-19.08841,226.5863,545.5929,2.5,18.590184,9.296764,35.173211,1.553197
2025Q1,3441.6127,2312.3145,163.01085,29.437567,37.6504,13.56374,11.7,88.002828,-11.7152,131.3411,0.9,23.096861,14.237795,32.813053,0.665422
2025Q2,3541.6803,2345.195,323.48049,23.140079,70.8714,23.00866,19.0373,47.76183,58.9779,245.3382,1.5,21.909018,10.410761,33.782983,0.951882
2025Q3,3513.6842,2351.3657,495.10416,18.223327,114.6222,38.18071,31.7687,44.439206,122.8755,421.9934,2.6,23.151126,11.654838,33.079766,1.637484
2025Q4,3677.182,2463.6237,673.23192,16.485039,145.5807,50.40734,41.2429,55.902978,200.8098,599.5058,3.4,21.624151,10.707915,33.002399,1.999327
2026Q1,3805.4585,2477.5671,176.17218,8.073898,37.8345,13.61209,12.3228,5.323171,51.3173,91.3504,0.9,21.47586,9.047955,34.894387,0.426052
