股票代码,股票名称,东财行业,申万一级,申万二级,申万三级,概念标签,数据日期
688667,菱电电控,汽车零部件,汽车,汽车零部件,汽车电子电气系统,,2026-09-15
688668,鼎通科技,通信设备,通信,通信设备,通信网络设备及器件,2026中报预增、中盘成长、中盘股、密集调研、铜缆高速连接、高市净率,2026-09-15
688669,聚石化学,塑料,基础化工,塑料,改性塑料,光刻胶,2026-09-15
688670,金迪克,生物制品,医药生物,生物制品,疫苗,病原体防治、破发股,2026-09-15
688671,碧兴物联,环保设备Ⅱ,环保,环保设备Ⅱ,环保设备Ⅲ,AI应用、破发股,2026-09-15
688676,金盘科技,电网设备,电力设备,电网设备,输变电设备,中盘成长、中盘股、海南自贸,2026-09-15
688677,海泰新光,医疗器械,医药生物,医疗器械,医疗设备,,2026-09-15
688678,福立旺,消费电子,电子,消费电子,消费电子零部件及组装,2026一季报预增、2026中报扭亏、人形机器人、趋势股,2026-09-15
688679,通源环境,环境治理,环保,环境治理,固废治理,昨日高振幅、趋势股,2026-09-15
688680,海优新材,光伏设备,电力设备,光伏设备,光伏辅材,反内卷概念、破发股,2026-09-15
688681,科汇股份,电网设备,电力设备,电网设备,电网自动化设备,电网概念,2026-09-15
688682,霍莱沃,军工电子Ⅱ,国防军工,军工电子Ⅱ,军工电子Ⅲ,通信技术,2026-09-15
688683,莱尔科技,电子化学品Ⅱ,电子,电子化学品Ⅱ,电子化学品Ⅲ,电池技术,2026-09-15
688685,迈信林,航空装备Ⅱ,国防军工,航空装备Ⅱ,航空装备Ⅲ,通信技术,2026-09-15
688686,奥普特,自动化设备,机械设备,自动化设备,其他自动化设备,小盘成长、小盘股、电池技术,2026-09-15
688687,凯因科技,生物制品,医药生物,生物制品,其他生物制品,病原体防治、破发股,2026-09-15
688689,银河微电,半导体,电子,半导体,分立器件,并购重组概念,2026-09-15
688690,纳微科技,化学制药,医药生物,化学制药,原料药,2026一季报预增、2026中报预增、医药医疗风格、小盘成长、小盘股,2026-09-15
688691,灿芯股份,半导体,电子,半导体,集成电路制造,小盘股,2026-09-15
688692,达梦数据,软件开发,计算机,软件开发,垂直应用软件,中盘成长、中盘股,2026-09-15
688693,锴威特,半导体,电子,半导体,分立器件,,2026-09-15
688695,中创股份,软件开发,计算机,软件开发,横向通用软件,AI应用、DeepSeek概念、破发股,2026-09-15
688696,极米科技,黑色家电,家用电器,黑色家电,其他黑色家电,破发股,2026-09-15
688697,纽威数控,通用设备,机械设备,通用设备,机床工具,,2026-09-15
688698,伟创电气,自动化设备,机械设备,自动化设备,工控设备,人形机器人、小盘成长、小盘股,2026-09-15
688699,明微电子,半导体,电子,半导体,模拟芯片设计,,2026-09-15
688700,东威科技,专用设备,机械设备,专用设备,其他专用设备,小盘成长、小盘股、玻璃基板,2026-09-15
688701,卓锦股份,环境治理,环保,环境治理,综合环境治理,,2026-09-15
688702,盛科通信-U,半导体,电子,半导体,数字芯片设计,大盘成长、大盘股、科技风格、高市净率,2026-09-15
688707,振华新材,电池,电力设备,电池,电池化学品,电池技术、破发股、破增发价股,2026-09-15
688708,佳驰科技,航空装备Ⅱ,国防军工,航空装备Ⅱ,航空装备Ⅲ,小盘成长、小盘股,2026-09-15
688709,成都华微,半导体,电子,半导体,数字芯片设计,小盘成长、小盘股、超跌股,2026-09-15
688710,益诺思,医疗服务,医药生物,医疗服务,医疗研发外包,创新医疗服务,2026-09-15
688711,宏微科技,半导体,电子,半导体,分立器件,人形机器人,2026-09-15
688712,北芯生命,医疗器械,医药生物,医疗器械,医疗设备,小盘成长、小盘股,2026-09-15
688716,中研股份,塑料,基础化工,塑料,合成树脂,破发股,2026-09-15
688717,艾罗能源,光伏设备,电力设备,光伏设备,逆变器,小盘价值、小盘股、电网概念、破发股,2026-09-15
688718,唯赛勃,塑料,基础化工,塑料,膜材料,微盘精选,2026-09-15
688719,爱科赛博,其他电源设备Ⅱ,电力设备,其他电源设备Ⅱ,其他电源设备Ⅲ,,2026-09-15
688720,艾森股份,半导体,电子,半导体,半导体材料,光刻胶、玻璃基板,2026-09-15
688721,龙图光罩,半导体,电子,半导体,半导体材料,,2026-09-15
688722,同益中,化学纤维,基础化工,化学纤维,其他化学纤维,人形机器人,2026-09-15
688726,拉普拉斯,光伏设备,电力设备,光伏设备,光伏加工设备,小盘成长、小盘股,2026-09-15
688727,恒坤新材,半导体,电子,半导体,半导体材料,光刻胶、小盘成长、小盘股,2026-09-15
688728,格科微,半导体,电子,半导体,数字芯片设计,AI眼镜、中盘成长、中盘股、微利股、破发股,2026-09-15
688729,屹唐股份,半导体,电子,半导体,半导体设备,大盘成长、大盘股、科技风格,2026-09-15
688733,壹石通,电池,电力设备,电池,电池化学品,2026中报扭亏、电池技术、破增发价股,2026-09-15
688737,中自科技,汽车零部件,汽车,汽车零部件,其他汽车零部件,电池技术、破发股,2026-09-15
688739,成大生物,生物制品,医药生物,生物制品,疫苗,AI应用、病原体防治、破发股,2026-09-15
688750,金天钛业,小金属,有色金属,小金属,其他小金属,,2026-09-15
688755,汉邦科技,专用设备,机械设备,专用设备,其他专用设备,合成生物,2026-09-15
688757,胜科纳米,专业服务,社会服务,专业服务,检测服务,小盘成长、小盘股,2026-09-15
