# GoalTracker 股价数据
股票代码,公司,现价
688256.SH,寒武纪,1050.49
300308.SZ,中际旭创,895.6
300502.SZ,新易盛,411.5
688008.SH,澜起科技,200.0
688041.SH,海光信息,259.74
603019.SH,中科曙光,85.0
688012.SH,中微公司,372.0
688981.SH,中芯国际,128.01
002371.SZ,北方华创,712.95
603986.SH,兆易创新,403.71
601138.SH,工业富联,61.83
002463.SZ,沪电股份,113.41
600183.SH,生益科技,125.47
000977.SZ,浪潮信息,72.87
000938.SZ,紫光股份,35.33
600206.SH,有研新材,58.87
605338.SH,巴比食品,19.64
601872.SH,招商轮船,18.6
002884.SZ,凌霄泵业,15.97
605099.SH,共创草坪,32.92
002690.SZ,美亚光电,15.5
603025.SH,大豪科技,13.8
000915.SZ,华特达因,25.81
300770.SZ,新媒股份,33.75
603871.SH,嘉友国际,12.29
300926.SZ,博俊科技,17.45
001380.SZ,华纬科技,16.29
300181.SZ,佐力药业,14.42
603173.SH,福斯达,31.23
605305.SH,中际联合,37.16
605499.SH,东鹏饮料,122.75
300628.SZ,亿联网络,39.82
603444.SH,吉比特,384.79
000848.SZ,承德露露,8.36
002867.SZ,周大生,12.38
000528.SZ,柳    工,8.02
002648.SZ,卫星化学,26.82
000791.SZ,甘肃能源,7.19
002957.SZ,科瑞技术,39.4
