# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
688256.SH,寒武纪,1054.96,-4.03,-0.38,143.54,47.66,1.04,65453.0,69.1365,6634.1582,6634.1582,6.2885
300308.SZ,中际旭创,908.9,6.53,0.72,39.21,26.86,1.81,201101.0,184.2092,10706.0207,10088.2174,11.7791
300502.SZ,新易盛,414.8,-1.6,-0.38,38.41,23.8,2.27,285202.0,120.2495,5783.3767,5202.6006,13.9426
688008.SH,澜起科技,195.3,-0.35,-0.18,59.67,11.08,1.64,188018.0,36.9316,2383.7108,2235.7251,12.2054
688041.SH,海光信息,235.8,-1.1,-0.46,152.37,21.6,0.72,166308.0,39.735,5480.7892,5480.7892,23.2434
603019.SH,中科曙光,82.43,-0.11,-0.13,62.08,5.23,0.96,140496.0,11.5957,1206.0463,1205.9957,14.6312
688012.SH,中微公司,333.0,-3.01,-0.9,56.45,10.62,1.07,100841.0,33.7772,3189.615,3137.5161,9.5784
688981.SH,中芯国际,120.51,-1.01,-0.83,115.48,6.02,1.09,218576.0,26.4657,10318.2882,2409.6728,85.6218
002371.SZ,北方华创,646.4,-1.47,-0.23,69.6,11.57,0.52,38015.0,24.569,4690.855,4686.9539,7.2569
603986.SH,兆易创新,381.87,-4.09,-1.06,19.6,7.17,3.41,229047.0,88.1638,2688.2557,2561.2721,7.0397
601138.SH,工业富联,65.24,0.49,0.76,27.27,7.37,0.38,761506.0,49.7151,12946.2858,12946.2858,198.4409
002463.SZ,沪电股份,127.55,2.65,2.12,41.98,13.64,2.47,475847.0,61.0079,2454.5257,2452.5974,19.2436
600183.SH,生益科技,148.16,1.88,1.29,54.74,19.45,2.45,589970.0,88.0134,3598.8118,3573.2471,24.29
000977.SZ,浪潮信息,71.38,-0.94,-1.3,17.76,4.27,4.82,706634.0,50.5863,1048.1986,1047.0844,14.6848
000938.SZ,紫光股份,33.57,-0.32,-0.94,22.15,5.37,4.43,1267934.0,42.9057,960.1288,960.1264,28.6008
600206.SH,有研新材,46.42,-0.43,-0.92,107.17,9.09,9.05,765908.0,36.3852,392.9701,392.9701,8.4655
605338.SH,巴比食品,19.01,-0.52,-2.66,16.91,2.08,1.24,29659.0,0.5622,45.5416,45.5416,2.3957
601872.SH,招商轮船,20.99,1.91,10.01,12.18,3.62,2.36,1903480.0,38.928,1694.8456,1694.8456,80.7454
002884.SZ,凌霄泵业,15.95,-0.11,-0.68,13.42,2.51,0.37,10191.0,0.1627,57.0504,43.7919,3.5768
605099.SH,共创草坪,29.54,-0.63,-2.09,15.7,3.76,0.36,14630.0,0.4336,118.9466,118.7881,4.0266
002690.SZ,美亚光电,15.84,-0.13,-0.81,22.19,5.43,0.71,30409.0,0.4836,139.7451,67.6419,8.8223
603025.SH,大豪科技,13.27,-0.18,-1.34,13.92,5.37,0.45,49564.0,0.6613,148.1801,147.1875,11.1665
000915.SZ,华特达因,26.44,0.09,0.34,13.87,2.37,3.47,81220.0,2.1678,61.9572,61.9021,2.3433
300770.SZ,新媒股份,35.12,-0.95,-2.63,13.37,2.16,1.14,26086.0,0.9182,80.0169,80.0169,2.2784
603871.SH,嘉友国际,14.23,0.08,0.57,13.31,3.11,0.68,93668.0,1.3345,194.6676,194.6676,13.6801
300926.SZ,博俊科技,17.28,-0.37,-2.1,13.19,2.04,0.96,28494.0,0.4975,75.0516,51.4932,4.3433
001380.SZ,华纬科技,18.34,0.31,1.72,21.28,2.46,0.95,22135.0,0.4049,49.6747,42.6831,2.7085
300181.SZ,佐力药业,13.5,-0.1,-0.74,12.63,2.85,1.12,67511.0,0.9111,94.6873,81.3373,7.0139
603173.SH,福斯达,30.41,-0.32,-1.04,16.09,2.43,0.44,6980.0,0.213,48.656,48.656,1.6
605305.SH,中际联合,31.89,0.01,0.03,12.86,2.24,1.05,22377.0,0.712,67.7726,67.7726,2.1252
605499.SH,东鹏饮料,117.25,-2.95,-2.45,15.01,4.42,0.99,66982.0,7.9058,860.8487,792.6298,7.342
300628.SZ,亿联网络,39.94,0.19,0.48,16.6,5.49,1.09,79256.0,3.1445,506.0072,289.9128,12.6692
603444.SH,吉比特,387.78,-15.09,-3.75,12.8,4.61,2.84,20472.0,8.0265,279.361,279.361,0.7204
000848.SZ,承德露露,8.25,-0.12,-1.43,14.12,2.61,1.15,116072.0,0.9608,84.15,83.3757,10.2
002867.SZ,周大生,10.74,-0.04,-0.37,12.96,1.87,0.64,69577.0,0.7459,116.5799,115.8998,10.8547
000528.SZ,柳    工,8.36,0.05,0.6,8.02,0.91,1.64,334713.0,2.7912,170.5921,170.3555,20.4058
002648.SZ,卫星化学,28.18,0.49,1.77,7.62,2.5,1.27,428697.0,11.9782,949.2844,948.6748,33.6865
000791.SZ,甘肃能源,7.36,0.1,1.38,14.22,1.57,1.05,203992.0,1.4959,238.7466,142.4625,32.4384
002957.SZ,科瑞技术,41.14,-0.19,-0.46,53.58,5.23,3.93,164465.0,6.884,172.7808,172.32,4.1998
600150.SH,中国船舶,39.53,0.45,1.15,14.94,1.95,1.59,1193542.0,46.8848,2974.8781,2974.8781,75.2562
002008.SZ,大族激光,94.85,-0.87,-0.91,37.91,4.55,5.58,533787.0,51.1162,976.5788,907.4583,10.296
603268.SH,松发股份,197.7,5.3,2.75,27.91,10.07,2.32,54027.0,10.6369,2014.0034,461.1348,10.1872
600362.SH,江西铜业,49.57,1.04,2.14,9.94,1.96,5.23,1085546.0,53.43,1716.475,1028.7001,34.6273
002916.SZ,深南电路,383.3,0.8,0.21,57.98,14.48,1.14,75650.0,29.1398,2610.9116,2548.2146,6.8117
001232.SZ,嘉立创,162.4,0.32,0.2,43.78,7.11,7.35,32478.0,5.3523,902.2294,71.7914,5.5556
600487.SH,亨通光电,66.62,3.51,5.56,26.34,4.87,8.9,2184008.0,144.9271,1643.1105,1634.6191,24.6639
603061.SH,金海通,316.2,-1.84,-0.58,80.35,14.5,2.43,21114.0,6.7498,275.094,275.094,0.87
300672.SZ,国科微,169.02,-2.86,-1.66,93.73,9.15,3.08,64688.0,11.0688,366.9466,355.5127,2.171
603629.SH,利通电子,109.26,0.27,0.25,28.52,15.2,6.3,227251.0,25.1175,400.687,394.1264,3.6673
688372.SH,伟测科技,113.06,-0.6,-0.53,59.97,4.5,2.97,50186.0,5.7457,191.0675,191.0675,1.69
300661.SZ,圣邦股份,107.75,0.62,0.58,87.88,7.56,1.3,78389.0,8.512,738.7709,648.5338,6.8563
300475.SZ,香农芯创,174.52,-5.14,-2.86,11.25,11.48,6.63,297230.0,52.5922,819.4443,782.7172,4.6954
300346.SZ,南大光电,52.74,1.18,2.29,71.25,10.45,5.02,332458.0,17.634,364.5162,349.1367,6.9116
300442.SZ,润泽科技,62.4,-0.63,-1.0,42.54,7.42,0.81,132096.0,8.3161,1024.0102,1021.0065,16.4104
300398.SZ,飞凯材料,33.49,0.5,1.52,35.73,3.65,4.97,282066.0,9.5443,190.9041,189.9604,5.7003
002111.SZ,威海广泰,10.1,0.02,0.2,16.92,1.76,1.23,60038.0,0.6051,53.7331,49.3639,5.3201
300033.SZ,同花顺,216.46,1.49,0.69,85.54,21.23,1.56,68444.0,14.7496,1629.1645,948.9822,7.5264
688110.SH,东芯股份,114.88,-1.24,-1.07,38.54,12.23,3.23,142913.0,16.7647,508.2031,508.2031,4.4238
002384.SZ,东山精密,196.06,9.64,5.17,60.72,14.74,6.02,834032.0,161.6006,3591.0497,2718.0224,18.3161
600584.SH,长电科技,68.64,0.04,0.06,72.71,4.24,3.43,613675.0,42.4823,1228.2542,1228.2542,17.8941
600601.SH,方正科技,14.62,0.14,0.97,54.47,11.9,5.91,2466631.0,36.1845,624.8212,609.6969,42.7374
300319.SZ,麦捷科技,20.05,0.28,1.42,58.94,3.6,13.22,1125287.0,22.7102,177.9615,170.6797,8.8759
688536.SH,思瑞浦,308.72,10.39,3.48,69.25,6.44,1.64,22237.0,6.8919,426.2666,418.7755,1.3808
300394.SZ,天孚通信,258.03,-0.47,-0.18,116.86,45.04,2.76,300596.0,79.0733,2814.656,2808.3677,10.9083
603893.SH,瑞芯微,187.36,-1.23,-0.65,46.15,16.1,1.99,84394.0,16.0076,792.8018,792.7006,4.2314
301696.SZ,三瑞智能,94.11,1.99,2.16,70.99,19.1,7.12,21422.0,2.0106,376.4494,28.3114,4.0001
688380.SH,中微半导,38.08,-0.42,-1.09,44.42,4.72,1.47,58999.0,2.2732,152.459,152.459,4.0037
688183.SH,生益电子,128.53,1.98,1.56,48.46,16.53,1.99,166334.0,21.4428,1076.556,1076.556,8.3759
300738.SZ,奥飞数据,19.74,0.09,0.46,49.47,5.3,2.08,204708.0,4.0353,194.4793,194.4181,9.852
001389.SZ,广合科技,173.92,4.73,2.8,43.02,10.37,4.0,60900.0,10.5537,822.1613,265.0047,4.7272
002297.SZ,博云新材,22.5,0.18,0.81,37.88,5.61,31.52,1806149.0,40.4367,128.9486,128.9486,5.731
002491.SZ,通鼎互联,22.22,0.77,3.59,67.47,10.23,16.63,1956987.0,43.2014,273.3048,261.4114,12.2999
002185.SZ,华天科技,16.17,0.2,1.25,33.07,2.83,5.57,1853874.0,30.0673,537.9368,537.8185,33.2676
002558.SZ,巨人网络,26.13,-1.27,-4.64,11.58,2.95,3.99,758203.0,19.9718,496.6168,496.6149,19.0056
003022.SZ,联泓新科,19.63,0.08,0.41,30.71,3.36,0.34,46038.0,0.9063,262.172,261.949,13.3557
000155.SZ,川能动力,12.11,-0.05,-0.41,15.83,2.0,1.13,209242.0,2.5297,223.571,223.571,18.4617
601869.SH,长飞光纤,442.03,25.18,6.04,62.57,22.7,4.88,198414.0,88.8627,3659.5889,1796.1372,8.2791
002975.SZ,博杰股份,101.0,0.09,0.09,61.46,8.51,8.52,117824.0,12.1083,210.212,139.6458,2.0813
600961.SH,株冶集团,25.6,0.26,1.03,7.05,4.69,3.97,298335.0,7.5827,274.6554,192.464,10.7287
000426.SZ,兴业银锡,38.66,0.94,2.49,15.17,6.05,2.72,483092.0,18.3776,686.4608,686.2828,17.7564
600026.SH,中远海能,21.43,1.2,5.93,12.9,2.44,2.72,1042764.0,22.0722,1172.4812,820.3387,54.7121
603992.SH,XD松霖科,20.01,-0.01,-0.05,28.66,2.55,0.73,32202.0,0.646,88.6527,88.6527,4.4304
603259.SH,药明康德,154.88,-1.47,-0.94,21.13,5.7,1.16,287079.0,44.4236,4681.777,3830.6164,30.2284
600499.SH,科达制造,15.03,0.39,2.66,11.22,2.17,1.36,261427.0,3.8846,288.2538,288.2538,19.1786
600160.SH,巨化股份,38.4,0.17,0.44,19.56,4.7,0.55,147415.0,5.6286,1036.7025,1036.7025,26.9975
002415.SZ,海康威视,33.75,0.1,0.3,19.59,3.9,0.71,645001.0,21.7044,3093.1441,3053.0566,91.6487
002841.SZ,视源股份,46.72,-0.18,-0.38,10.74,2.33,0.85,44531.0,2.0948,326.66,243.5726,6.9919
002602.SZ,世纪华通,15.78,-0.35,-2.17,12.92,3.4,1.59,1082099.0,17.1612,1163.0937,1072.5396,73.7068
