# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,5日涨幅%,本月涨幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
002796.SZ,世嘉科技,31.17,-0.13,-0.42,5.38,1.6,-96.64,9.46,0.17,3949.0,0.1232,78.6628,71.1077,2.5237
002797.SZ,第一创业,6.36,0.0,0.0,1.44,-3.93,19.43,1.58,0.03,12115.0,0.0771,267.2726,267.2726,42.024
002798.SZ,帝欧水华,6.64,-0.05,-0.75,1.22,9.95,-66.5,1.99,0.09,4726.0,0.0314,39.011,34.3121,5.8751
002799.SZ,环球印务,6.94,-0.05,-0.72,4.68,-1.14,103.53,1.74,0.1,3215.0,0.0223,22.2108,22.2105,3.2004
002800.SZ,天顺股份,14.91,-0.11,-0.73,1.29,-5.83,-149.01,4.68,0.09,1253.0,0.0187,22.7009,21.8242,1.5225
002801.SZ,微光股份,26.73,-0.07,-0.26,1.17,-3.12,15.56,3.1,0.03,327.0,0.0088,61.3806,30.9541,2.2963
002802.SZ,洪汇新材,12.36,0.0,0.0,4.39,-1.68,39.03,3.44,0.13,1876.0,0.0231,22.402,18.5008,1.8125
002803.SZ,吉宏股份,20.66,-0.42,-1.99,5.35,6.18,29.99,3.41,0.31,9224.0,0.1922,94.6056,61.4768,4.5792
002805.SZ,丰元股份,16.56,-0.17,-1.02,-2.82,-11.73,15.89,4.63,0.13,3616.0,0.0601,46.3784,46.1719,2.8006
002806.SZ,华锋股份,15.36,-0.02,-0.13,-1.66,5.64,-78.09,2.94,0.26,4316.0,0.0664,32.6368,25.6131,2.1248
002807.SZ,江阴银行,4.14,0.0,0.0,-1.19,1.72,6.47,0.55,0.08,20985.0,0.087,112.0918,111.9252,27.0753
002809.SZ,红墙股份,8.42,-0.06,-0.71,3.06,-5.84,-69.75,1.12,0.18,3083.0,0.026,20.2299,14.3115,2.4026
002810.SZ,山东赫达,21.57,0.05,0.23,4.71,1.64,17.62,3.4,0.03,823.0,0.0178,75.0748,69.688,3.4805
002811.SZ,郑中设计,17.9,0.79,4.62,21.11,32.57,25.6,3.83,0.67,18871.0,0.3336,55.1266,50.6683,3.0797
002812.SZ,恩捷股份,47.13,-0.53,-1.11,-1.63,-11.44,28.19,1.78,0.06,5342.0,0.2532,462.4954,387.6965,9.8132
002813.SZ,路畅科技,22.33,-0.17,-0.76,6.74,3.92,-60.84,13.22,0.07,838.0,0.0187,26.796,26.7719,1.2
002815.SZ,崇达技术,25.43,0.04,0.16,8.77,71.66,103.09,3.53,0.91,70990.0,1.7924,313.8447,197.6262,12.3415
002816.SZ,*ST和科,21.9,-0.52,-2.32,-0.59,-10.29,-59.88,9.77,0.27,2678.0,0.0586,21.9,21.9,1.0
002817.SZ,黄山胶囊,6.75,-0.02,-0.3,5.3,-1.47,33.49,2.07,0.15,4319.0,0.0291,20.1891,19.5994,2.991
