# GoalTracker 公司列表（导出于 2026-09-10，可用 fetch_financial.py --from-csv 批量抓取）
股票代码,公司名称,市场,板块,行业,林奇类型,行业细分,货币,现价,总股本
688256.SH,寒武纪,A股,科创板,电子,快速增长型,半导体AI芯片,CNY,1054.96,6.2885
300308.SZ,中际旭创,A股,创业板,通信,快速增长型,光模块,CNY,908.9,11.7791
300502.SZ,新易盛,A股,创业板,通信,快速增长型,光模块,CNY,414.8,13.9426
688008.SH,澜起科技,A股,科创板,电子,快速增长型,内存接口芯片,CNY,195.3,12.2054
688041.SH,海光信息,A股,科创板,电子,快速增长型,CPU/DCU,CNY,235.8,23.2434
603019.SH,中科曙光,A股,主板,计算机,快速增长型,算力服务器,CNY,82.43,14.6312
688012.SH,中微公司,A股,科创板,电子,快速增长型,半导体设备,CNY,333,9.5784
688981.SH,中芯国际,A股,科创板,电子,快速增长型,晶圆代工,CNY,120.51,85.6218
002371.SZ,北方华创,A股,主板,电子,快速增长型,半导体设备,CNY,646.4,7.2569
603986.SH,兆易创新,A股,主板,电子,快速增长型,半导体存储+MCU,CNY,381.87,7.0397
601138.SH,工业富联,A股,主板,电子,稳定增长型,智能制造,CNY,65.24,198.4409
002463.SZ,沪电股份,A股,主板,电子,快速增长型,PCB,CNY,127.55,19.2436
600183.SH,生益科技,A股,主板,电子,快速增长型,覆铜板,CNY,148.16,24.29
000977.SZ,浪潮信息,A股,主板,计算机,快速增长型,计算机,CNY,71.38,14.6848
000938.SZ,紫光股份,A股,主板,计算机,稳定增长型,计算机,CNY,33.57,28.6008
600206.SH,有研新材,A股,主板,有色金属,稳定增长型,半导体,CNY,46.42,8.4655
601872.SH,招商轮船,A股,主板,交通运输,周期型,航运,CNY,20.99,80.7454
605499.SH,东鹏饮料,A股,主板,食品饮料,快速增长型,食品-能量饮料,CNY,117.25,7.342
603444.SH,吉比特,A股,主板,传媒,稳定增长型,传媒-游戏,CNY,387.78,0.7204
002648.SZ,卫星化学,A股,主板,基础化工,周期型,化工-轻烃裂解,CNY,28.18,33.6865
002957.SZ,科瑞技术,A股,主板,机械设备,快速增长型,光模块设备,CNY,41.14,4.1998
600150.SH,中国船舶,A股,主板,国防军工,周期型,航海装备,CNY,39.53,75.2562
002008.SZ,大族激光,A股,主板,电子,快速增长型,激光设备 · AI PCB,CNY,94.85,10.296
603268.SH,松发股份,A股,主板,国防军工,快速增长型,,CNY,197.7,10.1872
600362.SH,江西铜业,A股,主板,有色金属,,,,49.57,34.6273
002916.SZ,深南电路,A股,主板,电子,,,,383.3,6.8117
001232.SZ,嘉立创,A股,主板,电子,,,,162.4,5.5556
600487.SH,亨通光电,A股,主板,通信,,,,66.62,24.6639
603061.SH,金海通,A股,主板,电子,,,,316.2,0.87
300672.SZ,国科微,A股,创业板,电子,,,CNY,169.02,2.171
603629.SH,利通电子,A股,主板,电子,,,CNY,109.26,3.6673
688372.SH,伟测科技,A股,科创板,电子,,,CNY,113.06,1.69
300661.SZ,圣邦股份,A股,创业板,电子,,,CNY,107.75,6.8563
300475.SZ,香农芯创,A股,创业板,电子,,,CNY,174.52,4.6954
300346.SZ,南大光电,A股,创业板,电子,,,CNY,52.74,6.9116
300442.SZ,润泽科技,A股,创业板,通信,,,CNY,62.4,16.4104
002111.SZ,威海广泰,A股,主板,国防军工,,,CNY,10.1,5.3201
688110.SH,东芯股份,A股,科创板,电子,,,CNY,114.88,4.4238
002384.SZ,东山精密,A股,主板,电子,,,CNY,196.06,18.3161
600584.SH,长电科技,A股,主板,电子,,,CNY,68.64,17.8941
600601.SH,方正科技,A股,主板,电子,,,CNY,14.62,42.7374
300319.SZ,麦捷科技,A股,创业板,电子,,,CNY,20.05,8.8759
688536.SH,思瑞浦,A股,科创板,电子,,,CNY,308.72,1.3808
300394.SZ,天孚通信,A股,创业板,通信,,,CNY,258.03,10.9083
603893.SH,瑞芯微,A股,主板,电子,,,CNY,187.36,4.2314
301696.SZ,三瑞智能,A股,创业板,国防军工,,,CNY,94.11,4.0001
688380.SH,中微半导,A股,科创板,电子,,,CNY,38.08,4.0037
688183.SH,生益电子,A股,科创板,电子,,,CNY,128.53,8.3759
300738.SZ,奥飞数据,A股,创业板,通信,,,CNY,19.74,9.852
001389.SZ,广合科技,A股,主板,电子,,,,173.92,4.7272
002297.SZ,博云新材,A股,主板,国防军工,,,,22.5,5.731
002491.SZ,通鼎互联,A股,主板,通信,,,,22.22,12.2999
002185.SZ,华天科技,A股,主板,电子,,,,16.17,33.2676
002558.SZ,巨人网络,A股,主板,传媒,,,,26.13,19.0056
003022.SZ,联泓新科,A股,,电力设备,,,,19.63,13.3557
000155.SZ,川能动力,A股,主板,公用事业,,,,12.11,18.4617
601869.SH,长飞光纤,A股,主板,通信,,,,442.03,8.2791
002975.SZ,博杰股份,A股,主板,机械设备,,,,101,2.0813
600961.SH,株冶集团,A股,主板,有色金属,,,,25.6,10.7287
000426.SZ,兴业银锡,A股,主板,有色金属,,,,38.66,17.7564
600026.SH,中远海能,A股,主板,交通运输,,,,21.43,54.7121
603992.SH,松霖科技,A股,主板,轻工制造,,,,20.01,4.4304
603259.SH,药明康德,A股,主板,医药生物,,,,154.88,30.2284
600499.SH,科达制造,A股,主板,机械设备,,,,15.03,19.1786
600160.SH,巨化股份,A股,主板,基础化工,,,,38.4,26.9975
002415.SZ,海康威视,A股,主板,计算机,稳定增长型,电子设备制造业,CNY,33.75,91.6487
002841.SZ,视源股份,A股,主板,,,,,46.72,6.9919
002602.SZ,世纪华通,A股,主板,,,,,15.78,73.7068
