# GoalTracker 公司列表（导出于 2026-08-31，可用 fetch_financial.py --from-csv 批量抓取）
股票代码,公司名称,市场,板块,行业,林奇类型,行业细分,货币,现价,总股本
688256.SH,寒武纪,A股,科创板,电子,快速增长型,半导体AI芯片,CNY,1046.63,6.2885
300308.SZ,中际旭创,A股,创业板,通信,快速增长型,光模块,CNY,858.35,11.6973
300502.SZ,新易盛,A股,创业板,通信,快速增长型,光模块,CNY,399,13.9426
688008.SH,澜起科技,A股,科创板,电子,快速增长型,内存接口芯片,CNY,213,12.2054
688041.SH,海光信息,A股,科创板,电子,快速增长型,CPU/DCU,CNY,245.49,23.2434
603019.SH,中科曙光,A股,主板,计算机,快速增长型,算力服务器,CNY,85.82,14.6312
688012.SH,中微公司,A股,科创板,电子,快速增长型,半导体设备,CNY,367,9.5784
688981.SH,中芯国际,A股,科创板,电子,快速增长型,晶圆代工,CNY,125.88,85.6106
002371.SZ,北方华创,A股,主板,电子,快速增长型,半导体设备,CNY,697.51,7.2569
603986.SH,兆易创新,A股,主板,电子,快速增长型,半导体存储+MCU,CNY,396.82,7.0175
601138.SH,工业富联,A股,主板,电子,稳定增长型,智能制造,CNY,64.04,198.4409
002463.SZ,沪电股份,A股,主板,电子,快速增长型,PCB,CNY,121.7,19.2436
600183.SH,生益科技,A股,主板,电子,快速增长型,覆铜板,CNY,145.65,24.29
000977.SZ,浪潮信息,A股,主板,计算机,快速增长型,计算机,CNY,77.44,14.6848
000938.SZ,紫光股份,A股,主板,计算机,稳定增长型,计算机,CNY,35.89,28.6008
600206.SH,有研新材,A股,主板,有色金属,稳定增长型,半导体,CNY,51.65,8.4655
605338.SH,巴比食品,A股,主板,食品饮料,稳定增长型,食品,CNY,19.15,2.3957
601872.SH,招商轮船,A股,主板,交通运输,周期型,航运,CNY,18.98,80.7454
002884.SZ,凌霄泵业,A股,主板,机械设备,稳定增长型,机械-民用水泵,CNY,16.01,3.5768
605099.SH,共创草坪,A股,主板,轻工制造,稳定增长型,轻工-人造草坪,CNY,30.87,4.0266
002690.SZ,美亚光电,A股,主板,机械设备,稳定增长型,机械-光电分选设备,CNY,16.26,8.8223
603025.SH,大豪科技,A股,主板,机械设备,稳定增长型,纺机-缝制设备电控,CNY,13.73,11.1665
000915.SZ,华特达因,A股,主板,医药生物,稳定增长型,医药-儿童健康,CNY,25.04,2.3433
300770.SZ,新媒股份,A股,创业板,传媒,稳定增长型,传媒-IPTV运营,CNY,34.1,2.2784
603871.SH,嘉友国际,A股,主板,交通运输,快速增长型,交运-跨境物流,CNY,13.71,13.6801
300926.SZ,博俊科技,A股,创业板,汽车,快速增长型,汽车-模具与车身件,CNY,17.63,4.3433
001380.SZ,华纬科技,A股,主板,汽车,稳定增长型,汽车-精密弹簧,CNY,17.43,2.7085
300181.SZ,佐力药业,A股,创业板,医药生物,快速增长型,医药-中药,CNY,13.83,7.0139
603173.SH,福斯达,A股,主板,机械设备,快速增长型,机械-深冷设备,CNY,31.42,1.6
605305.SH,中际联合,A股,主板,电力设备,快速增长型,电力设备-风电高空设备,CNY,32.82,2.1252
605499.SH,东鹏饮料,A股,主板,食品饮料,快速增长型,食品-能量饮料,CNY,120.81,7.342
300628.SZ,亿联网络,A股,创业板,通信,稳定增长型,通信-企业通信终端,CNY,40.2,12.6692
603444.SH,吉比特,A股,主板,传媒,稳定增长型,传媒-游戏,CNY,388.08,0.7204
000848.SZ,承德露露,A股,主板,食品饮料,缓慢增长型,食品-植物蛋白饮料,CNY,8.67,10.2
