# GoalTracker 公司列表（导出于 2026-09-23，可用 fetch_financial.py --from-csv 批量抓取）
股票代码,公司名称,市场,板块,行业,行业二级,行业三级,林奇类型,行业细分,货币,现价,总股本
688256.SH,寒武纪,A股,科创板,电子,半导体,数字芯片设计,快速增长型,半导体AI芯片,CNY,1113.14,6.2885
300308.SZ,中际旭创,A股,创业板,通信,通信设备,通信网络设备及器件,快速增长型,光模块,CNY,926.43,11.7791
300502.SZ,新易盛,A股,创业板,通信,通信设备,通信网络设备及器件,快速增长型,光模块,CNY,445,13.9474
688008.SH,澜起科技,A股,科创板,电子,半导体,数字芯片设计,快速增长型,内存接口芯片,CNY,202.53,12.2054
688041.SH,海光信息,A股,科创板,电子,半导体,数字芯片设计,快速增长型,CPU/DCU,CNY,241.38,23.2434
603019.SH,中科曙光,A股,主板,计算机,计算机设备,其他计算机设备,快速增长型,算力服务器,CNY,84.3,14.6312
688012.SH,中微公司,A股,科创板,电子,半导体,半导体设备,快速增长型,半导体设备,CNY,354.92,9.5784
688981.SH,中芯国际,A股,科创板,电子,半导体,集成电路制造,快速增长型,晶圆代工,CNY,122,85.6226
002371.SZ,北方华创,A股,主板,电子,半导体,半导体设备,快速增长型,半导体设备,CNY,686.51,7.2569
603986.SH,兆易创新,A股,主板,电子,半导体,数字芯片设计,快速增长型,半导体存储+MCU,CNY,388.18,7.0397
601138.SH,工业富联,A股,主板,电子,消费电子,消费电子零部件及组装,稳定增长型,智能制造,CNY,62.71,198.4409
002463.SZ,沪电股份,A股,主板,电子,元件,印制电路板,快速增长型,PCB,CNY,123.5,19.2436
600183.SH,生益科技,A股,主板,电子,元件,印制电路板,快速增长型,覆铜板,CNY,143.93,24.29
000977.SZ,浪潮信息,A股,主板,计算机,计算机设备,其他计算机设备,快速增长型,计算机,CNY,71.88,14.6848
000938.SZ,紫光股份,A股,主板,计算机,IT服务Ⅱ,IT服务Ⅲ,稳定增长型,计算机,CNY,33.95,28.6008
600206.SH,有研新材,A股,主板,电子,半导体,半导体材料,稳定增长型,半导体,CNY,51.6,8.4655
601872.SH,招商轮船,A股,主板,交通运输,航运港口,航运,周期型,航运,CNY,22.36,80.7454
605499.SH,东鹏饮料,A股,主板,食品饮料,饮料乳品,软饮料,快速增长型,食品-能量饮料,CNY,111.54,7.342
603444.SH,吉比特,A股,主板,传媒,游戏Ⅱ,游戏Ⅲ,稳定增长型,传媒-游戏,CNY,347.71,0.7204
002648.SZ,卫星化学,A股,主板,基础化工,化学原料,其他化学原料,周期型,化工-轻烃裂解,CNY,26.61,33.6865
002957.SZ,科瑞技术,A股,主板,机械设备,自动化设备,工控设备,快速增长型,光模块设备,CNY,42.44,4.1998
600150.SH,中国船舶,A股,主板,国防军工,航海装备Ⅱ,航海装备Ⅲ,周期型,航海装备,CNY,39.47,75.2562
002008.SZ,大族激光,A股,主板,电子,自动化设备,激光设备,快速增长型,激光设备 · AI PCB,CNY,99.6,10.296
603268.SH,松发股份,A股,主板,国防军工,航海装备Ⅱ,航海装备Ⅲ,快速增长型,,CNY,208,10.1872
600362.SH,江西铜业,A股,主板,有色金属,工业金属,铜,,,,44.03,34.6273
002916.SZ,深南电路,A股,主板,电子,元件,印制电路板,,,,384.5,6.8117
