# GoalTracker 公司列表（财报跟踪筛选 23 家，导出于 2026-08-30）
股票代码,公司名称,市场,板块,行业,林奇类型
300672.SZ,国科微,A股,深交所创业板A股,电子,
603629.SH,利通电子,A股,上交所主板A股,电子,
688372.SH,伟测科技,A股,上交所科创板A股,电子,
300661.SZ,圣邦股份,A股,深交所创业板A股,电子,
300475.SZ,香农芯创,A股,深交所创业板A股,电子,
300346.SZ,南大光电,A股,深交所创业板A股,电子,
300442.SZ,润泽科技,A股,深交所创业板A股,通信,
300398.SZ,飞凯材料,A股,深交所创业板A股,电子,
002111.SZ,威海广泰,A股,深交所主板A股,国防军工,
603268.SH,松发股份,A股,上交所主板A股,国防军工,
300033.SZ,同花顺,A股,深交所创业板A股,计算机,
688110.SH,东芯股份,A股,上交所科创板A股,电子,
002384.SZ,东山精密,A股,深交所主板A股,电子,
600584.SH,长电科技,A股,上交所主板A股,电子,
600601.SH,方正科技,A股,上交所主板A股,电子,
300319.SZ,麦捷科技,A股,深交所创业板A股,电子,
688536.SH,思瑞浦,A股,上交所科创板A股,电子,
300394.SZ,天孚通信,A股,深交所创业板A股,通信,
603893.SH,瑞芯微,A股,上交所主板A股,电子,
301696.SZ,三瑞智能,A股,深交所创业板A股,国防军工,
688380.SH,中微半导,A股,上交所科创板A股,电子,
688183.SH,生益电子,A股,上交所科创板A股,电子,
300738.SZ,奥飞数据,A股,深交所创业板A股,通信,
