# GoalTracker 公司组「营收超预期」 · 15 家（导出于 2026-09-03，可用 fetch_financial.py --from-csv 批量抓取）
股票代码,公司名称,市场,板块,行业,林奇类型,行业细分,货币,现价,总股本
001389.SZ,广合科技,A股,主板,电子,,,,,
002297.SZ,博云新材,A股,主板,国防军工,,,,,
002491.SZ,通鼎互联,A股,主板,通信,,,,,
002185.SZ,华天科技,A股,主板,电子,,,,,
002558.SZ,巨人网络,A股,主板,传媒,,,,,
003022.SZ,联泓新科,A股,,电力设备,,,,,
000155.SZ,川能动力,A股,主板,公用事业,,,,,
601869.SH,长飞光纤,A股,主板,通信,,,,,
002975.SZ,博杰股份,A股,主板,机械设备,,,,,
600961.SH,株冶集团,A股,主板,有色金属,,,,,
000426.SZ,兴业银锡,A股,主板,有色金属,,,,,
600026.SH,中远海能,A股,主板,交通运输,,,,,
603992.SH,松霖科技,A股,主板,轻工制造,,,,,
603259.SH,药明康德,A股,主板,医药生物,,,,,
600499.SH,科达制造,A股,主板,机械设备,,,,,
